LabelText,X,Y,Font,FontSize,Fill
varchar(500),"real(8,3)","real(8,3)",varchar(100),"real(6,3)",char(7)
V,687.5,344.5,MyriadPro-Regular,24,#F499C1
IV,485,97.375,MyriadPro-Regular,24,#E9E612
III,296.5,97.375,MyriadPro-Regular,24,#CB9AC6
II,76,228,MyriadPro-Regular,24,#5AA0D7
I,269.5,483.5,MyriadPro-Regular,24,#A197C9
VI,583.459,459.1885,MyriadPro-Regular,24,#0BA34A
25a,241.8398,336.2148,MyriadPro-Regular,7,#0D72BA
1,324.4409,380.3877,MyriadPro-Regular,7,#0D72BA
10,413.9414,419.3877,MyriadPro-Regular,7,#0D72BA
100,539.9414,417.6377,MyriadPro-Regular,7,#0D72BA
101,540.6914,466.3877,MyriadPro-Regular,7,#0D72BA
11,440.4414,447.6377,MyriadPro-Regular,7,#0D72BA
12,378.4409,493.6377,MyriadPro-Regular,7,#0D72BA
13,350.4409,447.1377,MyriadPro-Regular,7,#0D72BA
14,338.4409,479.3877,MyriadPro-Regular,7,#0D72BA
15,227.2739,482.3047,MyriadPro-Regular,7,#0D72BA
16,332.9409,514.3877,MyriadPro-Regular,7,#0D72BA
18,370.3579,532.9707,MyriadPro-Regular,7,#0D72BA
19,426.9414,498.3877,MyriadPro-Regular,7,#0D72BA
2,296.6909,402.8877,MyriadPro-Regular,7,#0D72BA
20,427.9414,535.6377,MyriadPro-Regular,7,#0D72BA
21,284.6909,501.1377,MyriadPro-Regular,7,#0D72BA
22,298.4409,480.1377,MyriadPro-Regular,7,#0D72BA
23,248.6909,446.3877,MyriadPro-Regular,7,#0D72BA
24,235.9409,418.6377,MyriadPro-Regular,7,#0D72BA
25,251.9409,396.1377,MyriadPro-Regular,7,#0D72BA
26,238.9409,305.8877,MyriadPro-Regular,7,#0D72BA
(26a\'),247.707,289.9033,MyriadPro-Regular,7,#0D72BA
(26a\'\'),504.1465,294.3408,MyriadPro-Regular,7,#0D72BA
27,207.9409,331.3877,MyriadPro-Regular,7,#0D72BA
28,212.1909,354.1377,MyriadPro-Regular,7,#0D72BA
29,197.9409,395.1377,MyriadPro-Regular,7,#0D72BA
3,296.6909,427.1377,MyriadPro-Regular,7,#0D72BA
31,166.1909,355.6377,MyriadPro-Regular,7,#0D72BA
32,159.6909,336.6377,MyriadPro-Regular,7,#0D72BA
33,131.4409,371.6377,MyriadPro-Regular,7,#0D72BA
34,157.1909,417.6377,MyriadPro-Regular,7,#0D72BA
35,115.6909,395.6377,MyriadPro-Regular,7,#0D72BA
35a,113.9409,338.1377,MyriadPro-Regular,7,#0D72BA
36,182.6909,287.8877,MyriadPro-Regular,7,#0D72BA
37,151.9409,302.3877,MyriadPro-Regular,7,#0D72BA
38,75.9409,352.1377,MyriadPro-Regular,7,#0D72BA
39,93.9409,254.3877,MyriadPro-Regular,7,#0D72BA
4,323.6909,429.8877,MyriadPro-Regular,7,#0D72BA
40,138.9409,228.8877,MyriadPro-Regular,7,#0D72BA
41,178.6909,206.8877,MyriadPro-Regular,7,#0D72BA
42,202.6909,129.8877,MyriadPro-Regular,7,#0D72BA
43,162.6909,74.3877,MyriadPro-Regular,7,#0D72BA
44,222.6909,94.6377,MyriadPro-Regular,7,#0D72BA
45,177.6909,249.3877,MyriadPro-Regular,7,#0D72BA
46,212.4409,234.8877,MyriadPro-Regular,7,#0D72BA
47,255.6909,264.1377,MyriadPro-Regular,7,#0D72BA
48,295.9409,267.1377,MyriadPro-Regular,7,#0D72BA
49,269.9409,237.8877,MyriadPro-Regular,7,#0D72BA
49a,312.0532,230.0664,MyriadPro-Regular,7,#0D72BA
49b,307.1328,207.1602,MyriadPro-Regular,7,#0D72BA
5,359.6909,396.8877,MyriadPro-Regular,7,#0D72BA
50,232.1909,226.6377,MyriadPro-Regular,7,#0D72BA
51,264.8931,196.4668,MyriadPro-Regular,7,#0D72BA
52,249.9409,166.1377,MyriadPro-Regular,7,#0D72BA
53,298.4409,148.1377,MyriadPro-Regular,7,#0D72BA
54,321.9409,165.8877,MyriadPro-Regular,7,#0D72BA
55,348.7812,191.9072,MyriadPro-Regular,7,#0D72BA
56,397.4414,164.8877,MyriadPro-Regular,7,#0D72BA
57,347.9409,126.1377,MyriadPro-Regular,7,#0D72BA
58,403.3574,71.2207,MyriadPro-Regular,7,#0D72BA
59,421.9414,112.1377,MyriadPro-Regular,7,#0D72BA
6,319.4409,403.3877,MyriadPro-Regular,7,#0D72BA
60,319.4409,251.1377,MyriadPro-Regular,7,#0D72BA
61,484.4414,265.3877,MyriadPro-Regular,7,#0D72BA
62,443.6914,242.6377,MyriadPro-Regular,7,#0D72BA
63,444.4414,203.6377,MyriadPro-Regular,7,#0D72BA
64,512.4414,212.1377,MyriadPro-Regular,7,#0D72BA
65,472.6914,176.8877,MyriadPro-Regular,7,#0D72BA
66,487.4414,163.6377,MyriadPro-Regular,7,#0D72BA
67,521.6914,179.6377,MyriadPro-Regular,7,#0D72BA
68,545.9414,145.8877,MyriadPro-Regular,7,#0D72BA
69,556.9414,186.6377,MyriadPro-Regular,7,#0D72BA
7,357.6909,375.1377,MyriadPro-Regular,7,#0D72BA
71,535.1914,244.8877,MyriadPro-Regular,7,#0D72BA
72,574.4414,298.3877,MyriadPro-Regular,7,#0D72BA
73,580.6914,308.1377,MyriadPro-Regular,7,#0D72BA
74,591.4414,261.3877,MyriadPro-Regular,7,#0D72BA
75,590.4414,224.6377,MyriadPro-Regular,7,#0D72BA
76,590.6914,159.1377,MyriadPro-Regular,7,#0D72BA
77,583.6914,128.8877,MyriadPro-Regular,7,#0D72BA
78,650.6914,93.3877,MyriadPro-Regular,7,#0D72BA
79,624.9414,180.1377,MyriadPro-Regular,7,#0D72BA
8,377.6909,384.3877,MyriadPro-Regular,7,#0D72BA
80,625.9414,215.1377,MyriadPro-Regular,7,#0D72BA
81,640.0664,214.6377,MyriadPro-Regular,7,#0D72BA
82,639.4414,244.1377,MyriadPro-Regular,7,#0D72BA
83,680.6914,220.3877,MyriadPro-Regular,7,#0D72BA
84,662.9414,177.1377,MyriadPro-Regular,7,#0D72BA
85,687.1914,203.3877,MyriadPro-Regular,7,#0D72BA
86,694.1914,252.6377,MyriadPro-Regular,7,#0D72BA
87,668.6914,268.6377,MyriadPro-Regular,7,#0D72BA
88,653.9414,279.1377,MyriadPro-Regular,7,#0D72BA
89,661.9414,310.8877,MyriadPro-Regular,7,#0D72BA
