LabelText,X,Y,Font,FontSize,Fill
varchar(500),"real(8,3)","real(8,3)",varchar(100),"real(6,3)",char(7)
VI,480.3535,416.7354,MyriadPro-Regular,21,#0EA44A
V,481.2129,173.9995,MyriadPro-Regular,21,#F29AC1
IV,322.4609,145.3081,MyriadPro-Regular,21,#E9E617
III,163.7539,209.7285,MyriadPro-Regular,21,#CC9BC6
II,117.3379,400.6582,MyriadPro-Regular,21,#5BA0D7
0,337.5352,308.4229,MyriadPro-Regular,21,#FDC696
I,356.6875,583.0273,MyriadPro-Regular,21,#A097CA
46,234.6738,341.9951,MyriadPro-Regular,7,#0D71BA
42,104.4805,279.6182,MyriadPro-Regular,7,#0D71BA
43,50.4009,229.752,MyriadPro-Regular,7,#0D71BA
44,91.2778,229.8877,MyriadPro-Regular,7,#0D71BA
2,370.4707,462.1279,MyriadPro-Regular,7,#0D71BA
3,374.7471,491.0508,MyriadPro-Regular,7,#0D71BA
4,391.5859,500.1182,MyriadPro-Regular,7,#0D71BA
11,443.834,606.041,MyriadPro-Regular,7,#0D71BA
13,407.7217,538.7783,MyriadPro-Regular,7,#0D71BA
23,330.7344,524.249,MyriadPro-Regular,7,#0D71BA
25,338.2422,387.998,MyriadPro-Regular,7,#0D71BA
26,290.9341,357.627,MyriadPro-Regular,7,#0D71BA
27,298.4009,422.332,MyriadPro-Regular,7,#0D71BA
28,308.541,445.458,MyriadPro-Regular,7,#0D71BA
32,264.3408,449.0186,MyriadPro-Regular,7,#0D71BA
33,263.333,486.6553,MyriadPro-Regular,7,#0D71BA
34,270.3252,531.9375,MyriadPro-Regular,7,#0D71BA
35,216.5068,517.7754,MyriadPro-Regular,7,#0D71BA
35a,213.2979,479.7344,MyriadPro-Regular,7,#0D71BA
36,230.499,373.7773,MyriadPro-Regular,7,#0D71BA
37,225.876,451.084,MyriadPro-Regular,7,#0D71BA
38,182.3477,463.209,MyriadPro-Regular,7,#0D71BA
39,143.894,429.2979,MyriadPro-Regular,7,#0D71BA
40,152.5679,380.9531,MyriadPro-Regular,7,#0D71BA
41,208.23,360.7686,MyriadPro-Regular,7,#0D71BA
47,251.792,330.0273,MyriadPro-Regular,7,#0D71BA
48,272.624,301.8105,MyriadPro-Regular,7,#0D71BA
49,234.2241,299.9932,MyriadPro-Regular,7,#0D71BA
50,185.8989,305.4893,MyriadPro-Regular,7,#0D71BA
61,292.4688,290.7227,MyriadPro-Regular,7,#0D71BA
64,303.7202,245.4443,MyriadPro-Regular,7,#0D71BA
65,276.9551,225.9658,MyriadPro-Regular,7,#0D71BA
66,316.3945,168.499,MyriadPro-Regular,7,#0D71BA
67,336.2178,213.5273,MyriadPro-Regular,7,#0D71BA
68,356.0049,174.4932,MyriadPro-Regular,7,#0D71BA
69,376,219.7354,MyriadPro-Regular,7,#0D71BA
71,354.1504,281.4521,MyriadPro-Regular,7,#0D71BA
72,328.6992,315.998,MyriadPro-Regular,7,#0D71BA
73,357.5254,314.4912,MyriadPro-Regular,7,#0D71BA
74,380.8574,240.0537,MyriadPro-Regular,7,#0D71BA
75,380.9531,186.5742,MyriadPro-Regular,7,#0D71BA
80,405.8096,186.3008,MyriadPro-Regular,7,#0D71BA
81,427.9424,171.498,MyriadPro-Regular,7,#0D71BA
82,447.7031,198.1758,MyriadPro-Regular,7,#0D71BA
86,494.7793,195.8848,MyriadPro-Regular,7,#0D71BA
87,460.5762,234.1973,MyriadPro-Regular,7,#0D71BA
88,428.6426,238.6406,MyriadPro-Regular,7,#0D71BA
89,508.042,242.2246,MyriadPro-Regular,7,#0D71BA
90,461.3271,310.1924,MyriadPro-Regular,7,#0D71BA
91,503.542,317.5742,MyriadPro-Regular,7,#0D71BA
92,492.4395,353.9893,MyriadPro-Regular,7,#0D71BA
93,391.3086,336.6562,MyriadPro-Regular,7,#0D71BA
95,452.4814,353.9893,MyriadPro-Regular,7,#0D71BA
96,493.042,376.6621,MyriadPro-Regular,7,#0D71BA
97,438.7324,435.6182,MyriadPro-Regular,7,#0D71BA
100,400.9619,391.1777,MyriadPro-Regular,7,#0D71BA
25a,315.5254,390.4863,MyriadPro-Regular,7,#0D71BA
26a,306.6133,330.9912,MyriadPro-Regular,7,#0D71BA
70,364.1055,247.6738,MyriadPro-Regular,7,#0D71BA
5,424.9551,489.1758,MyriadPro-Regular,7,#0D71BA
8,454.04,500.4473,MyriadPro-Regular,7,#0D71BA
24,321.0771,484.2344,MyriadPro-Regular,7,#0D71BA
49a,250.4893,264.6406,MyriadPro-Regular,7,#0D71BA
49b,213.0977,285.7383,MyriadPro-Regular,7,#0D71BA
51,190.5488,265.8818,MyriadPro-Regular,7,#0D71BA
54,207.9399,239.3369,MyriadPro-Regular,7,#0D71BA
55,212.0312,223.0298,MyriadPro-Regular,7,#0D71BA
1671,373.3223,469.3994,MyriadPro-Regular,4,#7F151C
1720,453.3359,579.1973,MyriadPro-Regular,4,#7F151C
1770,378.7324,520.9854,MyriadPro-Regular,4,#7F151C
1870,302.8672,403.5293,MyriadPro-Regular,4,#7F151C
1970,231.4209,503.8721,MyriadPro-Regular,4,#7F151C
2070,175.084,515.9375,MyriadPro-Regular,4,#7F151C
2170,57.9058,258.207,MyriadPro-Regular,4,#7F151C
2270,234.5811,381.8799,MyriadPro-Regular,4,#7F151C
2370,192.4331,257.1406,MyriadPro-Regular,4,#7F151C
2470,300.939,282.0654,MyriadPro-Regular,4,#7F151C
2570,363.5957,188.7422,MyriadPro-Regular,4,#7F151C
2770,370.2441,121.8311,MyriadPro-Regular,4,#7F151C
2870,492.041,222.0566,MyriadPro-Regular,4,#7F151C
2970,480.5957,267.9746,MyriadPro-Regular,4,#7F151C
1820,336.8496,492.5859,MyriadPro-Regular,4,#7F151C
1920,259.7139,471.7607,MyriadPro-Regular,4,#7F151C
2020,245.9189,411.4199,MyriadPro-Regular,4,#7F151C
2120,161.7939,420.6299,MyriadPro-Regular,4,#7F151C
2220,90.3188,270.9307,MyriadPro-Regular,4,#7F151C
2320,268.5488,338.9688,MyriadPro-Regular,4,#7F151C
2420,232.2969,258.1211,MyriadPro-Regular,4,#7F151C
2520,303.582,195.665,MyriadPro-Regular,4,#7F151C
2620,336.1836,263.5225,MyriadPro-Regular,4,#7F151C
2720,372.751,301.8789,MyriadPro-Regular,4,#7F151C
2820,414.3516,187.5508,MyriadPro-Regular,4,#7F151C
2920,406.1465,235.375,MyriadPro-Regular,4,#7F151C
3020,521.5625,341.9951,MyriadPro-Regular,4,#7F151C
3070,428.6426,320.583,MyriadPro-Regular,4,#7F151C
3120,424.2109,354.6416,MyriadPro-Regular,4,#7F151C
3170,457.2119,385.3086,MyriadPro-Regular,4,#7F151C
3220,389.6641,406.207,MyriadPro-Regular,4,#7F151C
3229,371.916,387.3682,MyriadPro-Regular,4,#7F151C
large subunit mito-ribosomal RNA,432.2051,784.2041,MyriadPro-Regular,12,#221F1F
 Homo sapiens,463.0361,766.8701,MyriadPro-It,18,#221F1F
