X1,Y1,X2,Y2,Fill,Stroke,StrokeWidth,StrokeLineJoin,StrokeMiterLimit
"real(8,3)","real(8,3)","real(8,3)","real(8,3)",char(7),char(7),"real(6,3)",char(5),"real(6,3)"
331.21,298.984,329.007,296.781,,#231F20,0.25,round,10
382.839,264.409,382.945,267.526,,#231F20,0.25,round,10
294.424,368.008,294.341,365.439,,#231F20,0.25,round,10
368.471,327.827,365.818,326.181,,#231F20,0.25,round,10
275.442,370.126,276.408,373.094,,#231F20,0.25,round,10
258.601,366.841,260.805,369.044,,#231F20,0.25,round,10
239.846,366.458,238.52,363.638,,#231F20,0.25,round,10
231.353,395.176,233.557,397.379,,#231F20,0.25,round,10
215.623,390.738,214.005,389.123,,#231F20,0.25,round,10
209.996,425.724,207.651,429.513,,#231F20,0.25,round,10
228.917,449.131,230.198,446.322,,#231F20,0.25,round,10
255.075,436.999,252.33,435.517,,#231F20,0.25,round,10
289.081,433.835,289.081,436.954,,#231F20,0.25,round,10
286.863,418.284,286.863,415.165,,#231F20,0.25,round,10
261.688,453.609,263.965,455.74,,#231F20,0.25,round,10
234.414,480.936,236.919,482.791,,#231F20,0.25,round,10
208.187,562.334,205.069,562.334,,#231F20,0.25,round,10
222.823,589.877,225.942,589.877,,#231F20,0.25,round,10
251.708,595.027,251.708,591.91,,#231F20,0.25,round,10
258.262,618.262,260.492,620.439,,#231F20,0.25,round,10
228.161,619.042,231.236,619.54,,#231F20,0.25,round,10
195.873,614.363,195.873,617.482,,#231F20,0.25,round,10
205.649,597.848,204.167,595.104,,#231F20,0.25,round,10
188.721,551.143,192.073,551.021,,#231F20,0.25,round,10
160.748,555.205,158.539,552.996,,#231F20,0.25,round,10
161.759,577.166,164.326,578.936,,#231F20,0.25,round,10
178.607,525.271,176.181,525.216,,#231F20,0.25,round,10
203.543,510.732,200.507,512.957,,#231F20,0.25,round,10
204.872,497.316,204.872,494.199,,#231F20,0.25,round,10
172.466,504.023,169.775,502.146,,#231F20,0.25,round,10
187.451,488.721,189.358,489.781,,#231F20,0.25,round,10
168.378,478.939,166.83,476.232,,#231F20,0.25,round,10
199.113,453.529,197.564,449.881,,#231F20,0.25,round,10
191.184,464.629,189.961,467.498,,#231F20,0.25,round,10
185.626,416.172,185.626,419.289,,#231F20,0.25,round,10
182.366,401.377,182.366,398.26,,#231F20,0.25,round,10
151.417,415.998,150.154,418.852,,#231F20,0.25,round,10
197.368,388.309,199.394,389.939,,#231F20,0.25,round,10
161.473,385.721,161.421,388.576,,#231F20,0.25,round,10
187.509,365.436,187.509,362.836,,#231F20,0.25,round,10
196.981,362.14,196.16,363.133,,#231F20,0.25,round,10
195.895,341.272,198.1,339.069,,#231F20,0.25,round,10
142.733,309.622,140.524,311.831,,#231F20,0.25,round,10
148.404,293.917,150.607,291.712,,#231F20,0.25,round,10
178.69,314.527,180.893,312.324,,#231F20,0.25,round,10
217.723,341.619,216.808,339.542,,#231F20,0.25,round,10
233.635,344.255,235.895,344.255,,#231F20,0.25,round,10
266.939,340.263,264.96,340.179,,#231F20,0.25,round,10
293.855,605.241,290.737,605.241,,#231F20,0.25,round,10
229.634,558.207,226.516,558.207,,#231F20,0.25,round,10
231.193,518.643,228.075,518.643,,#231F20,0.25,round,10
209.216,642.789,206.098,642.789,,#231F20,0.25,round,10
166.401,604.789,163.284,604.789,,#231F20,0.25,round,10
229.299,420.252,226.182,420.252,,#231F20,0.25,round,10
244.454,308.322,241.336,308.322,,#231F20,0.25,round,10
218.13,307.382,215.012,307.382,,#231F20,0.25,round,10
169.221,335.385,167.017,337.589,,#231F20,0.25,round,10
220.356,373.293,221.369,370.989,,#231F20,0.25,round,10
208.226,526.479,208.148,529.018,,#231F20,0.25,round,10
273.632,316.211,271.383,318.368,,#231F20,0.25,round,10
253.667,287.088,253.65,289.671,,#231F20,0.25,round,10
224.432,258.46,222.614,254.822,,#231F20,0.25,round,10
221.088,272.465,221.088,275.584,,#231F20,0.25,round,10
189.952,259.351,187.615,255.973,,#231F20,0.25,round,10
183.087,272.81,183.087,275.927,,#231F20,0.25,round,10
114.783,265.445,112.887,265.379,,#231F20,0.25,round,10
152.034,254.303,152.034,251.187,,#231F20,0.25,round,10
246.176,245.843,249.295,245.843,,#231F20,0.25,round,10
232.402,229.5,229.283,229.5,,#231F20,0.25,round,10
246.095,208.225,249.213,208.225,,#231F20,0.25,round,10
270.508,234.249,273.625,234.249,,#231F20,0.25,round,10
232.125,192.376,229.007,192.376,,#231F20,0.25,round,10
295.454,225.945,292.337,225.945,,#231F20,0.25,round,10
202.617,184.01,202.617,187.127,,#231F20,0.25,round,10
202.579,168.666,202.579,165.547,,#231F20,0.25,round,10
159.162,184.01,159.162,187.127,,#231F20,0.25,round,10
166.325,166.143,163.649,164.543,,#231F20,0.25,round,10
240.968,163.142,240.856,159.974,,#231F20,0.25,round,10
263.532,183.224,264.795,186.077,,#231F20,0.25,round,10
261.475,271.629,262.993,270.663,,#231F20,0.25,round,10
288.911,268.488,291.335,266.586,,#231F20,0.25,round,10
275.487,265.02,272.369,265.02,,#231F20,0.25,round,10
302.429,300.986,306.119,300.108,,#231F20,0.25,round,10
359.782,270.586,357.58,268.382,,#231F20,0.25,round,10
347.096,316.35,348.945,316.445,,#231F20,0.25,round,10
330.957,327.104,328.143,327.449,,#231F20,0.25,round,10
294.655,317.799,295.548,320.783,,#231F20,0.25,round,10
297.087,348.575,295.86,350.727,,#231F20,0.25,round,10
307.943,331.745,307.96,329.516,,#231F20,0.25,round,10
340.826,345.77,342.775,346.836,,#231F20,0.25,round,10
148.573,279.005,148.573,282.123,,#231F20,0.25,round,10
278.723,191.978,278.723,195.095,,#231F20,0.25,round,10
311.145,411.397,308.586,409.616,,#231F20,0.25,round,10
310.475,456.357,307.355,456.357,,#231F20,0.25,round,10
