LabelText,X,Y,Font,FontSize,Fill
varchar(500),"real(8,3)","real(8,3)",varchar(100),"real(6,3)",char(7)
0,314.3428,325.3926,MyriadPro-Regular,24,#FDC696
II,174.1357,458.0361,MyriadPro-Regular,24,#5BA0D7
IV,287.3828,203.0869,MyriadPro-Regular,24,#E9E617
V,452.5859,316.2207,MyriadPro-Regular,24,#F29AC1
25a,303.5649,402.4619,MyriadPro-Regular,7,#1173BB
26,259.248,399.6602,MyriadPro-Regular,7,#1173BB
26a,280.749,351.75,MyriadPro-Regular,7,#1173BB
27,276.4502,423.9307,MyriadPro-Regular,7,#1173BB
32,229.249,452.1914,MyriadPro-Regular,7,#1173BB
33,227.2222,505.4463,MyriadPro-Regular,7,#1173BB
35,182.749,538.25,MyriadPro-Regular,7,#1173BB
35a,182.7061,491.1064,MyriadPro-Regular,7,#1173BB
36,210.667,406.1475,MyriadPro-Regular,7,#1173BB
46,236.3828,373.4375,MyriadPro-Regular,7,#1173BB
58,200.5342,59.7607,MyriadPro-Regular,7,#1173BB
61,253.6748,318.4814,MyriadPro-Regular,7,#1173BB
64,306.249,265.6465,MyriadPro-Regular,7,#1173BB
65,261.854,233.9229,MyriadPro-Regular,7,#1173BB
72,302.3501,335.7432,MyriadPro-Regular,7,#1173BB
73,330.6855,344.1436,MyriadPro-Regular,7,#1173BB
74,352.8535,267.3008,MyriadPro-Regular,7,#1173BB
80,390.9561,207.4951,MyriadPro-Regular,7,#1173BB
89,413.6035,273.25,MyriadPro-Regular,7,#1173BB
90,431.3086,329.626,MyriadPro-Regular,7,#1173BB
92,437.3652,380.3916,MyriadPro-Regular,7,#1173BB
93,378.1934,376.3037,MyriadPro-Regular,7,#1173BB
100,171.9092,556.3535,MyriadPro-Regular,4,#80141F
80,231.8804,551.8623,MyriadPro-Regular,4,#80141F
70,226.7852,518.585,MyriadPro-Regular,4,#80141F
40,254.5938,434.9854,MyriadPro-Regular,4,#80141F
30,273.5103,430.3438,MyriadPro-Regular,4,#80141F
20,281.9805,391.5938,MyriadPro-Regular,4,#80141F
120,204.7202,509.8193,MyriadPro-Regular,4,#80141F
110,195.959,534.7813,MyriadPro-Regular,4,#80141F
10,295.5342,409.4727,MyriadPro-Regular,4,#80141F
90,211.6592,550.5928,MyriadPro-Regular,4,#80141F
60,228.2251,487.9922,MyriadPro-Regular,4,#80141F
50,246.2603,460.4473,MyriadPro-Regular,4,#80141F
180,215.6572,392.2188,MyriadPro-Regular,4,#80141F
170,191.6563,419.3926,MyriadPro-Regular,4,#80141F
160,225.7671,433.4854,MyriadPro-Regular,4,#80141F
150,213.1738,458.3789,MyriadPro-Regular,4,#80141F
140,190.9858,479.0459,MyriadPro-Regular,4,#80141F
130,206.2202,502.6943,MyriadPro-Regular,4,#80141F
240,273.061,308.9072,MyriadPro-Regular,4,#80141F
230,265.6201,316.1016,MyriadPro-Regular,4,#80141F
220,249.4351,335.3975,MyriadPro-Regular,4,#80141F
210,264.522,374.083,MyriadPro-Regular,4,#80141F
200,264.522,381.3008,MyriadPro-Regular,4,#80141F
190,230.0488,377.3838,MyriadPro-Regular,4,#80141F
300,307.2559,236.4297,MyriadPro-Regular,4,#80141F
290,281.0098,223.0234,MyriadPro-Regular,4,#80141F
280,271.3169,237.1875,MyriadPro-Regular,4,#80141F
270,277.627,257.126,MyriadPro-Regular,4,#80141F
260,284.2988,270.1875,MyriadPro-Regular,4,#80141F
250,269.0811,282.6113,MyriadPro-Regular,4,#80141F
350,283.0381,357.4873,MyriadPro-Regular,4,#80141F
360,292.2642,364.0088,MyriadPro-Regular,4,#80141F
340,278.9619,335.1006,MyriadPro-Regular,4,#80141F
330,298.1152,311.374,MyriadPro-Regular,4,#80141F
320,303.9453,271.0801,MyriadPro-Regular,4,#80141F
310,309.0996,256.626,MyriadPro-Regular,4,#80141F
370,316.7012,350.1406,MyriadPro-Regular,4,#80141F
380,318.2559,363.6143,MyriadPro-Regular,4,#80141F
390,339.5059,336.8984,MyriadPro-Regular,4,#80141F
400,354.8164,279.6426,MyriadPro-Regular,4,#80141F
410,354.8574,246.4082,MyriadPro-Regular,4,#80141F
420,364.3184,207.7402,MyriadPro-Regular,4,#80141F
430,378.1602,225.5059,MyriadPro-Regular,4,#80141F
440,398.5391,219,MyriadPro-Regular,4,#80141F
450,411.6348,249.5771,MyriadPro-Regular,4,#80141F
460,378.0977,250.6572,MyriadPro-Regular,4,#80141F
470,378.2578,277.3301,MyriadPro-Regular,4,#80141F
480,404.8691,279.624,MyriadPro-Regular,4,#80141F
490,447.8008,274.2715,MyriadPro-Regular,4,#80141F
500,419.6367,299.543,MyriadPro-Regular,4,#80141F
510,420.4707,320.7158,MyriadPro-Regular,4,#80141F
520,437.0664,338.8213,MyriadPro-Regular,4,#80141F
530,469.6914,347.3584,MyriadPro-Regular,4,#80141F
540,463.3809,378.8672,MyriadPro-Regular,4,#80141F
550,441.6055,373.4375,MyriadPro-Regular,4,#80141F
560,430.832,358.2158,MyriadPro-Regular,4,#80141F
570,407.5137,346.5752,MyriadPro-Regular,4,#80141F
580,390.709,350.4229,MyriadPro-Regular,4,#80141F
590,367.2422,356.9873,MyriadPro-Regular,4,#80141F
600,365.3594,340.2881,MyriadPro-Regular,4,#80141F
610,344.0488,367.0957,MyriadPro-Regular,4,#80141F
ancestral ribosomal RNA γ,340.5254,546.75,MyriadPro-Regular,12,#020202
Thermus thermophilus,324.3203,527.0703,MyriadPro-It,18,#231F20
