X1,Y1,X2,Y2,Fill,Stroke,StrokeWidth,StrokeLineJoin,StrokeMiterLimit
"real(8,3)","real(8,3)","real(8,3)","real(8,3)",char(7),char(7),"real(6,3)",char(5),"real(6,3)"
298.422,458.081,296.295,457.713,,#211E1F,0.25,round,10
325.788,428.351,324.034,428.437,,#211E1F,0.25,round,10
313.218,431.776,311.714,432.612,,#211E1F,0.25,round,10
349.772,405.654,349.019,403.49,,#211E1F,0.25,round,10
336.55,387.769,336.124,385.442,,#211E1F,0.25,round,10
280.248,486.013,278.494,485.849,,#211E1F,0.25,round,10
256.329,534.983,254.952,533.616,,#211E1F,0.25,round,10
263.77,548.027,261.266,547.861,,#211E1F,0.25,round,10
233.294,554.335,231.1,554.335,,#211E1F,0.25,round,10
279.106,516.487,277.102,516.573,,#211E1F,0.25,round,10
286.712,548.013,286.708,546.099,,#211E1F,0.25,round,10
265.675,507.694,263.866,508.03,,#211E1F,0.25,round,10
253.67,417.269,250.906,417.269,,#211E1F,0.25,round,10
274.785,456.25,272.317,456.25,,#211E1F,0.25,round,10
286.555,431.269,284.983,431.479,,#211E1F,0.25,round,10
259.806,498.8,259.052,496.636,,#211E1F,0.25,round,10
251.783,477.756,250.029,477.342,,#211E1F,0.25,round,10
274.748,390.192,276.244,388.528,,#211E1F,0.25,round,10
326.202,316.679,324.575,315.062,,#211E1F,0.25,round,10
323.084,370.67,324.422,368.623,,#211E1F,0.25,round,10
310.044,335.978,308.407,334.385,,#211E1F,0.25,round,10
281.639,377.574,282.885,376.41,,#211E1F,0.25,round,10
317.162,383.017,317.658,381.103,,#211E1F,0.25,round,10
331.548,305.082,332.596,302.918,,#211E1F,0.25,round,10
341.903,221.292,340.026,221.175,,#211E1F,0.25,round,10
333.445,253.334,333.941,251.17,,#211E1F,0.25,round,10
327.097,239.14,327.093,236.976,,#211E1F,0.25,round,10
328.592,280.213,331.601,280.261,,#211E1F,0.25,round,10
343.309,274.621,340.554,269.957,,#211E1F,0.25,round,10
357.648,236.115,359.531,234.783,,#211E1F,0.25,round,10
333.636,357.565,335.288,355.904,,#211E1F,0.25,round,10
350.376,309.019,348.727,307.63,,#211E1F,0.25,round,10
331.252,332.731,329.498,331.317,,#211E1F,0.25,round,10
364.756,252.797,364.752,250.633,,#211E1F,0.25,round,10
356.478,269.109,354.474,269.195,,#211E1F,0.25,round,10
353.537,363.252,351.283,362.588,,#211E1F,0.25,round,10
379.207,363.297,377.453,362.133,,#211E1F,0.25,round,10
369.207,348.047,366.453,348.383,,#211E1F,0.25,round,10
400.762,337.249,398.758,335.835,,#211E1F,0.25,round,10
416.747,277.494,414.067,277.58,,#211E1F,0.25,round,10
416.788,244.259,414.108,244.345,,#211E1F,0.25,round,10
420.394,209.09,419.889,207.519,,#211E1F,0.25,round,10
435.235,226.855,434.73,225.284,,#211E1F,0.25,round,10
448.482,217.805,450.484,217.519,,#211E1F,0.25,round,10
461.938,246.686,463.971,247.151,,#211E1F,0.25,round,10
428.401,247.767,430.434,248.231,,#211E1F,0.25,round,10
428.345,277.643,430.746,276.76,,#211E1F,0.25,round,10
463.169,279.348,464.701,280.976,,#211E1F,0.25,round,10
497.854,272.631,499.886,272.595,,#211E1F,0.25,round,10
473.939,293.402,474.972,295.366,,#211E1F,0.25,round,10
470.773,317.825,472.807,318.29,,#211E1F,0.25,round,10
490.885,340.325,491.917,338.79,,#211E1F,0.25,round,10
519.76,346.612,521.792,345.577,,#211E1F,0.25,round,10
513.273,377.151,515.556,377.115,,#211E1F,0.25,round,10
500.308,369.784,502.09,366.248,,#211E1F,0.25,round,10
486.745,354.251,486.777,351.215,,#211E1F,0.25,round,10
463.455,342.661,464.737,340.875,,#211E1F,0.25,round,10
440.232,348.454,442.765,348.418,,#211E1F,0.25,round,10
426.572,354.677,428.604,353.392,,#211E1F,0.25,round,10
418.294,336.585,416.563,334.493,,#211E1F,0.25,round,10
396.331,364.389,394.93,363.022,,#211E1F,0.25,round,10
322.119,533,488.951,533,,#221F1F,1,round,10
