LabelText,X,Y,Font,FontSize,Fill
varchar(500),'real(8,3)','real(8,3)',varchar(100),'real(6,3)',char(7)
0,365.7559,332.8057,MyriadPro-Regular,24,#FCC595
I,361.7783,573.8213,MyriadPro-Regular,24,#A197C9
II,143.373,421.6289,MyriadPro-Regular,24,#5AA0D7
III,198.771,168.6719,MyriadPro-Regular,24,#CB9AC6
IV,336.2959,147.5,MyriadPro-Regular,24,#E9E612
V,517.999,315.1338,MyriadPro-Regular,24,#F499C1
VI,518.6201,440.7471,MyriadPro-Regular,24,#0BA34A
1,396.7324,467.9482,MyriadPro-Regular,7,#0D71BA
10,522.999,572.251,MyriadPro-Regular,7,#0D71BA
100,442.2246,461.5713,MyriadPro-Regular,7,#0D71BA
101,409.7373,515.1104,MyriadPro-Regular,7,#0D71BA
11,529.8184,607.6895,MyriadPro-Regular,7,#0D71BA
12,452.9326,621.085,MyriadPro-Regular,7,#0D71BA
13,440.4873,569.5,MyriadPro-Regular,7,#0D71BA
14,414.2305,571.0449,MyriadPro-Regular,7,#0D71BA
15,312.3545,651.375,MyriadPro-Regular,7,#0D71BA
16,407.2324,629.5312,MyriadPro-Regular,7,#0D71BA
18,444.6152,666,MyriadPro-Regular,7,#0D71BA
19,506.5771,634.5918,MyriadPro-Regular,7,#0D71BA
19a,522.0244,651.375,MyriadPro-Regular,7,#0D71BA
2,371.8809,458.415,MyriadPro-Regular,7,#0D71BA
20,508.499,668.5,MyriadPro-Regular,7,#0D71BA
21,363.998,598.1338,MyriadPro-Regular,7,#0D71BA
22,403.6279,562.5332,MyriadPro-Regular,7,#0D71BA
23,346.3232,529.3916,MyriadPro-Regular,7,#0D71BA
24,325.4219,523.8135,MyriadPro-Regular,7,#0D71BA
25,365.2559,429.0322,MyriadPro-Regular,7,#0D71BA
25a,330.8154,408.7119,MyriadPro-Regular,7,#0D71BA
26,313.498,398.9102,MyriadPro-Regular,7,#0D71BA
26a,334.999,353.5,MyriadPro-Regular,7,#0D71BA
27,327.7002,447.1807,MyriadPro-Regular,7,#0D71BA
28,338.1865,465.3789,MyriadPro-Regular,7,#0D71BA
29,309.1904,508.3008,MyriadPro-Regular,7,#0D71BA
3,397.6943,509.6338,MyriadPro-Regular,7,#0D71BA
31,283.6904,491.165,MyriadPro-Regular,7,#0D71BA
31a,252.3867,650.4395,MyriadPro-Regular,7,#0D71BA
32,280.999,454.4414,MyriadPro-Regular,7,#0D71BA
33,254.4717,519.6963,MyriadPro-Regular,7,#0D71BA
34,280.7349,563.6807,MyriadPro-Regular,7,#0D71BA
35,236.999,540,MyriadPro-Regular,7,#0D71BA
35a,238.9561,487.3555,MyriadPro-Regular,7,#0D71BA
36,265.917,429.3965,MyriadPro-Regular,7,#0D71BA
37,241.3496,443.3291,MyriadPro-Regular,7,#0D71BA
38,195.999,524.626,MyriadPro-Regular,7,#0D71BA
39,172.6699,436.0479,MyriadPro-Regular,7,#0D71BA
4,431.1396,539.0869,MyriadPro-Regular,7,#0D71BA
40,195.9512,395.8633,MyriadPro-Regular,7,#0D71BA
41,184.2261,350.3838,MyriadPro-Regular,7,#0D71BA
42,123.999,302.4053,MyriadPro-Regular,7,#0D71BA
43,69.6045,255.5376,MyriadPro-Regular,7,#0D71BA
43a,96.6377,246.7617,MyriadPro-Regular,7,#0D71BA
44,134.6982,270.5,MyriadPro-Regular,7,#0D71BA
45,217.459,366.1108,MyriadPro-Regular,7,#0D71BA
46,282.1328,373.1875,MyriadPro-Regular,7,#0D71BA
47,296.2686,358.3027,MyriadPro-Regular,7,#0D71BA
48,298.1045,324.624,MyriadPro-Regular,7,#0D71BA
49,255.1445,319.9414,MyriadPro-Regular,7,#0D71BA
49a,248.6201,293.9453,MyriadPro-Regular,7,#0D71BA
49b,248.8652,264.5605,MyriadPro-Regular,7,#0D71BA
5,483.7451,524.3213,MyriadPro-Regular,7,#0D71BA
50,219.416,343.4429,MyriadPro-Regular,7,#0D71BA
51,230.499,261.501,MyriadPro-Regular,7,#0D71BA
52,172.8965,284.3291,MyriadPro-Regular,7,#0D71BA
53,192.7324,232.6807,MyriadPro-Regular,7,#0D71BA
54,221.999,228.3027,MyriadPro-Regular,7,#0D71BA
55,239.7949,197,MyriadPro-Regular,7,#0D71BA
55a,287.2324,193.855,MyriadPro-Regular,7,#0D71BA
56,281.499,166,MyriadPro-Regular,7,#0D71BA
57,221.709,129,MyriadPro-Regular,7,#0D71BA
58,254.7842,61.5107,MyriadPro-Regular,7,#0D71BA
59,301.3936,115.8447,MyriadPro-Regular,7,#0D71BA
6,442.9902,513.7891,MyriadPro-Regular,7,#0D71BA
60,302.999,298.6724,MyriadPro-Regular,7,#0D71BA
61,347.4248,320.7305,MyriadPro-Regular,7,#0D71BA
62,290.1572,287.209,MyriadPro-Regular,7,#0D71BA
63,289.4326,241.6562,MyriadPro-Regular,7,#0D71BA
63a,309.6777,277.0508,MyriadPro-Regular,7,#0D71BA
64,357.999,273.3965,MyriadPro-Regular,7,#0D71BA
65,316.1045,235.6729,MyriadPro-Regular,7,#0D71BA
66,330.6543,225.9531,MyriadPro-Regular,7,#0D71BA
67,358.998,229.3213,MyriadPro-Regular,7,#0D71BA
68,390.8926,173.4795,MyriadPro-Regular,7,#0D71BA
69,398.4258,212.6001,MyriadPro-Regular,7,#0D71BA
7,494.2295,506.8838,MyriadPro-Regular,7,#0D71BA
70,397.6328,254.1196,MyriadPro-Regular,7,#0D71BA
71,362.5195,312.8652,MyriadPro-Regular,7,#0D71BA
72,356.5996,337.4932,MyriadPro-Regular,7,#0D71BA
73,389.4355,337.8945,MyriadPro-Regular,7,#0D71BA
74,405.1045,277.0508,MyriadPro-Regular,7,#0D71BA
75,404.7871,204.4619,MyriadPro-Regular,7,#0D71BA
76,405.334,147.2656,MyriadPro-Regular,7,#0D71BA
77,424.3574,99.6094,MyriadPro-Regular,7,#0D71BA
78,465.1934,84.6025,MyriadPro-Regular,7,#0D71BA
79,437.2686,169.6953,MyriadPro-Regular,7,#0D71BA
8,501.4531,523.8135,MyriadPro-Regular,7,#0D71BA
80,438.2061,203.2451,MyriadPro-Regular,7,#0D71BA
81,453.999,205.375,MyriadPro-Regular,7,#0D71BA
82,454.6621,234.625,MyriadPro-Regular,7,#0D71BA
83,495.5293,211.3711,MyriadPro-Regular,7,#0D71BA
84,477.4746,167.875,MyriadPro-Regular,7,#0D71BA
85,501.7246,194.125,MyriadPro-Regular,7,#0D71BA
86,509.0908,244.1289,MyriadPro-Regular,7,#0D71BA
87,483.7451,259.3525,MyriadPro-Regular,7,#0D71BA
88,469.4482,268.1885,MyriadPro-Regular,7,#0D71BA
89,491.8545,292.5,MyriadPro-Regular,7,#0D71BA
9,530.2168,541,MyriadPro-Regular,7,#0D71BA
90,488.5576,335.876,MyriadPro-Regular,7,#0D71BA
91,524.499,341.7202,MyriadPro-Regular,7,#0D71BA
92,491.6152,382.1416,MyriadPro-Regular,7,#0D71BA
92a,477.6729,368.207,MyriadPro-Regular,7,#0D71BA
93,430.4434,376.0537,MyriadPro-Regular,7,#0D71BA
94,416.2793,388.8672,MyriadPro-Regular,7,#0D71BA
95,448.0039,359.1621,MyriadPro-Regular,7,#0D71BA
96,517.999,417.3525,MyriadPro-Regular,7,#0D71BA
97,477.8652,446.25,MyriadPro-Regular,7,#0D71BA
98,427.4795,420.7588,MyriadPro-Regular,7,#0D71BA
99,424.9795,431.1367,MyriadPro-Regular,7,#0D71BA
10,396.0371,456.2744,MyriadPro-Regular,4,#7F151C
