X1,Y1,X2,Y2,Fill,Stroke,StrokeWidth,StrokeLineJoin,StrokeMiterLimit
"real(8,3)'","real(8,3)'","real(8,3)'","real(8,3)'",char(7),char(7),"real(6,3)'",char(5),"real(6,3)'"
305.01,352.24,303.912,350.231,,#1A1718,0.25,round,10
274.768,339.47,274.217,337.246,,#1A1718,0.25,round,10
250.565,366.998,249.026,365.302,,#1A1718,0.25,round,10
221.347,396.236,219.062,396.379,,#1A1718,0.25,round,10
227.033,420.317,224.881,421.1,,#1A1718,0.25,round,10
238.076,428.617,237.098,426.546,,#1A1718,0.25,round,10
268.007,415.215,266.468,413.52,,#1A1718,0.25,round,10
277.98,432.552,277.002,430.48,,#1A1718,0.25,round,10
241.31,450.808,239.154,450.032,,#1A1718,0.25,round,10
229.479,483.969,227.443,485.016,,#1A1718,0.25,round,10
229.479,523.346,227.443,524.393,,#1A1718,0.25,round,10
231.171,557.756,228.881,557.741,,#1A1718,0.25,round,10
241.394,568.654,241.059,566.389,,#1A1718,0.25,round,10
235.226,590.122,234.069,591.561,,#1A1718,0.25,round,10
268.726,588.212,268.708,590.502,,#1A1718,0.25,round,10
284.971,605.521,284.953,607.811,,#1A1718,0.25,round,10
246.412,610.14,245,611.942,,#1A1718,0.25,round,10
261.746,656.241,260.137,657.87,,#1A1718,0.25,round,10
235.606,655.797,233.997,657.426,,#1A1718,0.25,round,10
202.748,654.415,201.112,652.812,,#1A1718,0.25,round,10
180.097,681.458,180.557,683.701,,#1A1718,0.25,round,10
148.96,708.981,147.324,707.378,,#1A1718,0.25,round,10
149.952,679.575,149.209,677.407,,#1A1718,0.25,round,10
173.676,649.209,172.933,647.041,,#1A1718,0.25,round,10
242.715,628.397,240.425,628.383,,#1A1718,0.25,round,10
193.823,627.136,191.533,627.121,,#1A1718,0.25,round,10
193.069,605.687,193.052,608.367,,#1A1718,0.25,round,10
171.755,587.426,172.123,589.687,,#1A1718,0.25,round,10
201.905,582.916,204.007,583.826,,#1A1718,0.25,round,10
209.924,541.807,207.634,541.792,,#1A1718,0.25,round,10
205.291,517.882,205.29,528.879,,#1A1718,0.25,round,10
184.655,545.11,186.292,546.712,,#1A1718,0.25,round,10
145.79,543.057,145.772,545.737,,#1A1718,0.25,round,10
153.462,525.688,153.444,528.369,,#1A1718,0.25,round,10
176.763,516.642,174.473,516.613,,#1A1718,0.25,round,10
173.412,503.555,171.802,505.184,,#1A1718,0.25,round,10
214.504,500.309,211.674,499.429,,#1A1718,0.25,round,10
199.852,481.35,198.242,482.979,,#1A1718,0.25,round,10
198.864,474.966,197.05,473.566,,#1A1718,0.25,round,10
164.282,472.598,162.113,471.86,,#1A1718,0.25,round,10
194.669,454.675,192.385,454.822,,#1A1718,0.25,round,10
195.335,433.748,194.318,435.8,,#1A1718,0.25,round,10
209.816,417.356,207.526,417.342,,#1A1718,0.25,round,10
193.536,405.748,193.536,407.812,,#1A1718,0.25,round,10
161.015,402.434,161.015,404.498,,#1A1718,0.25,round,10
178.132,383.731,178.132,385.795,,#1A1718,0.25,round,10
213.099,378.973,211.511,377.322,,#1A1718,0.25,round,10
202.956,373.107,202.956,375.172,,#1A1718,0.25,round,10
165.702,372.497,165.702,374.562,,#1A1718,0.25,round,10
174.251,355.195,172.663,353.544,,#1A1718,0.25,round,10
205.44,357.139,195.003,352.848,,#1A1718,0.25,round,10
177.401,327.993,175.761,329.591,,#1A1718,0.25,round,10
185.84,309.583,184.201,311.182,,#1A1718,0.25,round,10
210.052,335.85,208.412,337.449,,#1A1718,0.25,round,10
221.727,341.518,219.437,341.503,,#1A1718,0.25,round,10
220.583,313.754,218.292,313.739,,#1A1718,0.25,round,10
222.297,267.885,220.924,264.723,,#1A1718,0.25,round,10
239.804,296.573,238.215,294.922,,#1A1718,0.25,round,10
240.131,346.687,237.888,347.146,,#1A1718,0.25,round,10
249.821,342.669,248.232,341.019,,#1A1718,0.25,round,10
264.233,299.466,262.645,297.816,,#1A1718,0.25,round,10
266.657,277.164,264.834,278.55,,#1A1718,0.25,round,10
242.62,249.001,241.774,251.129,,#1A1718,0.25,round,10
210.188,262.067,210.171,264.357,,#1A1718,0.25,round,10
185.366,290.004,183.777,288.354,,#1A1718,0.25,round,10
148.913,326.604,147.324,324.954,,#1A1718,0.25,round,10
137.457,308.925,135.167,308.91,,#1A1718,0.25,round,10
160.334,278.017,160.861,280.246,,#1A1718,0.25,round,10
189.596,260.928,188.008,259.277,,#1A1718,0.25,round,10
180.366,252.836,179.026,250.979,,#1A1718,0.25,round,10
148.119,276.25,146.778,274.392,,#1A1718,0.25,round,10
112.473,282.244,110.183,282.229,,#1A1718,0.25,round,10
143.973,257.763,141.949,256.689,,#1A1718,0.25,round,10
177.339,236.003,172.295,235.302,,#1A1718,0.25,round,10
144.118,226.745,144.118,228.809,,#1A1718,0.25,round,10
78.595,236.704,76.465,235.857,,#1A1718,0.25,round,10
69.134,196.336,67.794,194.479,,#1A1718,0.25,round,10
113.262,226.817,113.262,228.881,,#1A1718,0.25,round,10
