X1,Y1,X2,Y2,Fill,Stroke,StrokeWidth,StrokeLineJoin,StrokeMiterLimit
"real(8,3)","real(8,3)","real(8,3)","real(8,3)",char(7),char(7),"real(6,3)",char(5),"real(6,3)"
254.9,384.8,253.2,385.5,,#231F20,0.275,round,10
240.2,417.1,242,417.1,,#231F20,0.275,round,10
284.9,421.2,286.4,420.3,,#231F20,0.275,round,10
271.4,470.9,272.7,469.9,,#231F20,0.275,round,10
288.2,460.8,286.8,460.1,,#231F20,0.275,round,10
298.9,458.1,300.5,458.1,,#231F20,0.275,round,10
315.1,491.2,316.8,491.2,,#231F20,0.275,round,10
362.9,487.1,361.6,486.2,,#231F20,0.275,round,10
363.7,502.4,363,504,,#231F20,0.275,round,10
319.4,527.6,321,527.1,,#231F20,0.275,round,10
346.1,568.2,344.9,569.4,,#231F20,0.275,round,10
294.5,543.6,294.6,545.3,,#231F20,0.275,round,10
264.5,549.5,265.7,550.6,,#231F20,0.275,round,10
264.1,534.1,262.9,533.1,,#231F20,0.275,round,10
231.7,514.8,231.6,516.4,,#231F20,0.275,round,10
244.8,504.1,243,504.1,,#231F20,0.275,round,10
254.8,503.5,256.4,503.5,,#231F20,0.275,round,10
253.1,464.8,254.6,464.2,,#231F20,0.275,round,10
229.6,442.3,229.6,440.6,,#231F20,0.275,round,10
228.6,387.5,229.6,386.4,,#231F20,0.275,round,10
211.7,409,213.1,409.5,,#231F20,0.275,round,10
208.8,371.3,207.8,372.6,,#231F20,0.275,round,10
190.7,343,190.3,344.8,,#231F20,0.275,round,10
172.2,386.1,172.9,384.6,,#231F20,0.275,round,10
202.2,390.4,203.3,389.4,,#231F20,0.275,round,10
172.2,431,173.8,431.8,,#231F20,0.275,round,10
156.1,407,154.4,407,,#231F20,0.275,round,10
157.3,343.9,155.9,344.6,,#231F20,0.275,round,10
135.4,393.3,137.3,393.3,,#231F20,0.275,round,10
148.1,431.3,148.1,433,,#231F20,0.275,round,10
96.4,454.2,94.7,454.2,,#231F20,0.275,round,10
124.8,400.5,123.1,400.5,,#231F20,0.275,round,10
118.2,370.1,118.4,368.3,,#231F20,0.275,round,10
153.4,334.6,152.2,333.8,,#231F20,0.275,round,10
122.2,348.3,121.5,349.8,,#231F20,0.275,round,10
90,356.5,90.1,358.3,,#231F20,0.275,round,10
116.8,396.2,118.4,396.2,,#231F20,0.275,round,10
70,386.4,71.3,387.4,,#231F20,0.275,round,10
60.2,442.9,61.7,442.9,,#231F20,0.275,round,10
49.2,465.2,47.5,465.2,,#231F20,0.275,round,10
48.6,396.5,47,395.9,,#231F20,0.275,round,10
94,344.3,92.6,343.4,,#231F20,0.275,round,10
81.4,317.9,81.4,319.6,,#231F20,0.275,round,10
116.2,304.6,114.3,304.7,,#231F20,0.275,round,10
118.1,288.1,116.4,288.1,,#231F20,0.275,round,10
98.9,237.2,97.5,238.3,,#231F20,0.275,round,10
74.5,160.7,72.8,160.7,,#231F20,0.275,round,10
42,95.3,40.4,95.3,,#231F20,0.275,round,10
25,75.9,25,74.3,,#231F20,0.275,round,10
72.8,75.4,73.7,73.8,,#231F20,0.275,round,10
59.8,115,60.2,113.3,,#231F20,0.275,round,10
85.5,135,87.1,135,,#231F20,0.275,round,10
107.2,157.3,107.2,159,,#231F20,0.275,round,10
92,189.1,93.9,189.1,,#231F20,0.275,round,10
101.1,222.7,102.1,221.4,,#231F20,0.275,round,10
125.3,237.2,126.9,237.8,,#231F20,0.275,round,10
155.1,245.4,155.2,247.2,,#231F20,0.275,round,10
127.6,288.1,129.4,287.9,,#231F20,0.275,round,10
160.6,255.2,160.6,253.5,,#231F20,0.275,round,10
139.1,306.4,140.5,305.6,,#231F20,0.275,round,10
162.3,287.8,160.6,288.2,,#231F20,0.275,round,10
195.7,266.1,196.7,267.5,,#231F20,0.275,round,10
173.5,315.6,175.4,315.4,,#231F20,0.275,round,10
201.8,320.8,200.2,319.9,,#231F20,0.275,round,10
218.9,289.9,220.4,289.2,,#231F20,0.275,round,10
229.5,264.1,228.6,265.6,,#231F20,0.275,round,10
210.1,234.9,208.5,235.4,,#231F20,0.275,round,10
154.2,223.1,152.7,222.8,,#231F20,0.275,round,10
197,219.5,197.3,217.7,,#231F20,0.275,round,10
252.4,214.8,251.5,213.5,,#231F20,0.275,round,10
292,183.4,290.4,182.6,,#231F20,0.275,round,10
260.4,136.5,261.3,135,,#231F20,0.275,round,10
304,187.2,305.2,188.4,,#231F20,0.275,round,10
311.9,188.7,310.6,187.8,,#231F20,0.275,round,10
295.9,223.3,295.4,224.9,,#231F20,0.275,round,10
248.5,230.7,247.7,232.1,,#231F20,0.275,round,10
242.2,254.3,242.5,252.5,,#231F20,0.275,round,10
251.2,283.9,251.6,282.3,,#231F20,0.275,round,10
248.4,304.2,248.8,302.6,,#231F20,0.275,round,10
357.7,416.6,359.2,417.1,,#231F20,0.275,round,10
295.7,418.2,295.7,420,,#231F20,0.275,round,10
577,592.5,754,592.5,,#231F20,1,round,10
