X1,Y1,X2,Y2,Fill,Stroke,StrokeWidth,StrokeLineJoin,StrokeMiterLimit
"real(8,3)","real(8,3)","real(8,3)","real(8,3)",char(7),char(7),"real(6,3)",char(5),"real(6,3)"
331.241,301.461,329.038,299.258,,#231F20,0.25,round,10
382.714,266.367,382.821,269.484,,#231F20,0.25,round,10
294.424,368.008,294.341,365.439,,#231F20,0.25,round,10
367.793,328.504,365.141,326.857,,#231F20,0.25,round,10
275.442,370.126,276.408,373.094,,#231F20,0.25,round,10
258.601,366.841,260.805,369.044,,#231F20,0.25,round,10
239.846,366.458,238.52,363.638,,#231F20,0.25,round,10
231.353,395.176,233.557,397.379,,#231F20,0.25,round,10
215.623,390.738,214.005,389.123,,#231F20,0.25,round,10
209.996,425.724,207.651,429.513,,#231F20,0.25,round,10
228.598,449.621,229.88,446.812,,#231F20,0.25,round,10
255.075,436.999,252.33,435.517,,#231F20,0.25,round,10
289.081,433.835,289.081,436.954,,#231F20,0.25,round,10
286.863,418.284,286.863,415.165,,#231F20,0.25,round,10
261.688,453.609,263.965,455.74,,#231F20,0.25,round,10
234.414,480.936,236.919,482.791,,#231F20,0.25,round,10
208.187,562.334,205.069,562.334,,#231F20,0.25,round,10
223.148,590.289,226.267,590.289,,#231F20,0.25,round,10
251.708,595.027,251.708,591.91,,#231F20,0.25,round,10
258.262,618.262,260.492,620.439,,#231F20,0.25,round,10
231.114,619.91,234.189,620.408,,#231F20,0.25,round,10
195.873,614.363,195.873,617.482,,#231F20,0.25,round,10
205.649,597.848,204.167,595.104,,#231F20,0.25,round,10
188.721,551.143,192.073,551.021,,#231F20,0.25,round,10
160.748,555.205,158.539,552.996,,#231F20,0.25,round,10
161.759,577.166,164.326,578.936,,#231F20,0.25,round,10
178.607,525.272,176.181,525.216,,#231F20,0.25,round,10
203.543,510.732,200.507,512.957,,#231F20,0.25,round,10
204.872,497.316,204.872,494.199,,#231F20,0.25,round,10
172.466,504.023,169.775,502.146,,#231F20,0.25,round,10
187.451,488.721,189.358,489.781,,#231F20,0.25,round,10
168.378,478.939,166.83,476.232,,#231F20,0.25,round,10
199.113,453.529,197.564,449.881,,#231F20,0.25,round,10
191.184,464.629,189.961,467.498,,#231F20,0.25,round,10
185.626,416.172,185.626,419.289,,#231F20,0.25,round,10
181.811,402.156,181.811,399.039,,#231F20,0.25,round,10
150.861,415.699,149.598,418.553,,#231F20,0.25,round,10
197.368,388.309,199.394,389.939,,#231F20,0.25,round,10
161.473,385.721,161.421,388.576,,#231F20,0.25,round,10
187.509,365.436,187.509,362.836,,#231F20,0.25,round,10
196.981,362.14,196.16,363.133,,#231F20,0.25,round,10
195.895,341.272,198.1,339.069,,#231F20,0.25,round,10
142.733,309.622,140.524,311.831,,#231F20,0.25,round,10
148.404,293.917,150.607,291.712,,#231F20,0.25,round,10
178.69,314.527,180.893,312.324,,#231F20,0.25,round,10
217.723,341.619,216.808,339.542,,#231F20,0.25,round,10
233.635,344.255,235.895,344.255,,#231F20,0.25,round,10
255.343,335.373,253.364,335.289,,#231F20,0.25,round,10
293.855,605.241,290.737,605.241,,#231F20,0.25,round,10
229.634,558.207,226.516,558.207,,#231F20,0.25,round,10
231.193,518.643,228.075,518.643,,#231F20,0.25,round,10
209.216,642.789,206.098,642.789,,#231F20,0.25,round,10
166.401,604.789,163.284,604.789,,#231F20,0.25,round,10
229.299,420.252,226.182,420.252,,#231F20,0.25,round,10
244.454,308.322,241.336,308.322,,#231F20,0.25,round,10
218.13,307.382,215.012,307.382,,#231F20,0.25,round,10
169.221,335.385,167.017,337.589,,#231F20,0.25,round,10
220.356,373.293,221.369,370.989,,#231F20,0.25,round,10
209.442,523.633,211.65,522.377,,#231F20,0.25,round,10
273.253,318.334,271.004,320.49,,#231F20,0.25,round,10
248.476,285.146,248.459,287.729,,#231F20,0.25,round,10
218.899,257.449,217.081,253.811,,#231F20,0.25,round,10
215.555,271.454,215.555,274.573,,#231F20,0.25,round,10
184.419,258.34,182.082,254.962,,#231F20,0.25,round,10
177.554,271.799,177.554,274.916,,#231F20,0.25,round,10
109.25,264.434,107.354,264.368,,#231F20,0.25,round,10
146.501,253.292,146.501,250.176,,#231F20,0.25,round,10
240.643,244.832,243.762,244.832,,#231F20,0.25,round,10
226.869,228.489,223.75,228.489,,#231F20,0.25,round,10
240.562,207.214,243.68,207.214,,#231F20,0.25,round,10
271.804,235.136,274.921,235.136,,#231F20,0.25,round,10
226.592,191.365,223.474,191.365,,#231F20,0.25,round,10
296.75,226.832,293.634,226.832,,#231F20,0.25,round,10
197.084,182.999,197.084,186.116,,#231F20,0.25,round,10
197.046,167.655,197.046,164.536,,#231F20,0.25,round,10
153.629,182.999,153.629,186.116,,#231F20,0.25,round,10
160.792,165.132,158.116,163.532,,#231F20,0.25,round,10
235.435,162.131,235.323,158.963,,#231F20,0.25,round,10
257.999,182.213,259.262,185.066,,#231F20,0.25,round,10
255.942,270.618,257.46,269.652,,#231F20,0.25,round,10
290.348,268.989,292.773,267.087,,#231F20,0.25,round,10
277.261,265.717,274.142,265.717,,#231F20,0.25,round,10
303.451,303.416,307.141,302.538,,#231F20,0.25,round,10
359.196,272.834,356.993,270.63,,#231F20,0.25,round,10
347.012,320.638,348.861,320.732,,#231F20,0.25,round,10
327.313,327.911,324.476,327.898,,#231F20,0.25,round,10
294.451,319.599,295.344,322.582,,#231F20,0.25,round,10
297.087,348.575,295.86,350.727,,#231F20,0.25,round,10
307.094,329.464,307.109,327.234,,#231F20,0.25,round,10
333.82,356.246,335.77,357.312,,#231F20,0.25,round,10
143.04,277.994,143.04,281.112,,#231F20,0.25,round,10
280.019,192.865,280.019,195.982,,#231F20,0.25,round,10
311.145,411.397,308.586,409.616,,#231F20,0.25,round,10
310.475,456.357,307.355,456.357,,#231F20,0.25,round,10
324.683,456.91,326.417,457.949,,#231F20,0.25,round,10
310.975,496.648,307.857,496.648,,#231F20,0.25,round,10
324.928,496.436,328.045,496.436,,#231F20,0.25,round,10
311.033,535.928,308.176,534.631,,#231F20,0.25,round,10
325.311,536.189,328.428,536.189,,#231F20,0.25,round,10
310.729,576.199,307.611,576.199,,#231F20,0.25,round,10
324.83,580.854,327.947,580.854,,#231F20,0.25,round,10
314.041,611.939,311.188,613.203,,#231F20,0.25,round,10
312.426,377.284,308.862,380.769,,#231F20,0.25,round,10
337.227,394.582,337.227,398.395,,#231F20,0.25,round,10
349.117,380.444,349.117,378.194,,#231F20,0.25,round,10
387.271,375.515,385.632,372.86,,#231F20,0.25,round,10
406.196,379.04,408.464,376.977,,#231F20,0.25,round,10
405.863,344.858,402.744,344.84,,#231F20,0.25,round,10
451.659,420.983,448.542,420.968,,#231F20,0.25,round,10
419.852,340.834,422.971,340.85,,#231F20,0.25,round,10
392.389,327.276,392.514,330.867,,#231F20,0.25,round,10
390.634,297.589,389.892,294.56,,#231F20,0.25,round,10
419.78,297.374,422.899,297.374,,#231F20,0.25,round,10
407.899,275.25,407.747,273.081,,#231F20,0.25,round,10
389.706,254.003,389.808,250.444,,#231F20,0.25,round,10
350.087,243.465,350.087,240.347,,#231F20,0.25,round,10
345.325,258.104,345.325,261.223,,#231F20,0.25,round,10
419.782,263.783,422.899,263.783,,#231F20,0.25,round,10
405.976,252.449,403.767,250.63,,#231F20,0.25,round,10
406.188,216.898,403.071,216.898,,#231F20,0.25,round,10
433.899,193.428,430.78,193.428,,#231F20,0.25,round,10
396.657,185.257,396.657,188.375,,#231F20,0.25,round,10
374.239,144.636,371.12,144.724,,#231F20,0.25,round,10
390.284,165.173,393.397,164.982,,#231F20,0.25,round,10
412.88,163.415,412.88,160.297,,#231F20,0.25,round,10
451.28,170.653,451.28,167.535,,#231F20,0.25,round,10
488.954,166.874,488.954,163.756,,#231F20,0.25,round,10
463.206,185.244,463.206,188.362,,#231F20,0.25,round,10
502.526,186.179,502.526,189.298,,#231F20,0.25,round,10
452.435,201.833,455.163,203.346,,#231F20,0.25,round,10
445.851,224.02,443.444,226.005,,#231F20,0.25,round,10
419.067,192.181,417.491,190.804,,#231F20,0.25,round,10
423.091,224.771,425.589,224.729,,#231F20,0.25,round,10
434.509,360.6,435.864,357.792,,#231F20,0.25,round,10
462.735,361.184,463.827,364.047,,#231F20,0.25,round,10
458.015,338.375,456.083,335.933,,#231F20,0.25,round,10
513.417,321.289,515.341,323.741,,#231F20,0.25,round,10
491.298,346.368,492.36,349.297,,#231F20,0.25,round,10
444.185,390.944,446.823,392.602,,#231F20,0.25,round,10
427.985,417.38,425.286,418.938,,#231F20,0.25,round,10
449.893,451.711,449.025,454.703,,#231F20,0.25,round,10
396.059,407.683,398.762,406.122,,#231F20,0.25,round,10
412.505,443.778,414.644,447.122,,#231F20,0.25,round,10
357.652,294.269,359.855,296.473,,#231F20,0.25,round,10
372.741,218.925,372.741,222.042,,#231F20,0.25,round,10
366.841,168.746,366.841,171.864,,#231F20,0.25,round,10
352.324,419.293,352.324,416.178,,#231F20,0.25,round,10
372.33,434.375,372.33,437.494,,#231F20,0.25,round,10
340.307,471.141,337.881,471.141,,#231F20,0.25,round,10
338.44,435.691,340.991,436.178,,#231F20,0.25,round,10
485.878,315.826,487.8,318.28,,#231F20,0.25,round,10
394.4,736,561.233,736,,#231F20,1,round,10
