StructureName,MoleculeName,ChainName
4V6W,18S,B2
4V6W,28S,A5
4V6W,2S,A9
4V6W,5S,A7
4V6W,5.8S,A8
4V6W,uS10,AU
4V6W,eS10,AK
4V6W,uS11,AO
4V6W,uS12,AX
4V6W,eS12,AM
4V6W,uS13,AS
4V6W,uS14,Ad
4V6W,uS15,AN
4V6W,uS17,AL
4V6W,eS17,AR
4V6W,uS19,AP
4V6W,eS19,AT
4V6W,eS1,AB
4V6W,uS2,AA
4V6W,eS21,AV
4V6W,eS24,AY
4V6W,eS25,AZ
4V6W,eS26,Aa
4V6W,eS27,Ab
4V6W,eS28,Ac
4V6W,uS3,AD
4V6W,eS30,Ae
4V6W,eS31,Af
4V6W,uS4,AJ
4V6W,eS4,AE
4V6W,uS6,AC
4V6W,eS6,AG
4V6W,uS7,AF
4V6W,eS7,AH
4V6W,uS8,AW
4V6W,eS8,AI
4V6W,uS9,AQ
4V6W,uL1,Cz
4V6W,uL10,Cq
4V6W,uL11,CK
4V6W,uL13,CO
4V6W,eL13,CL
4V6W,uL14,CV
4V6W,eL14,CM
4V6W,uL15,Ca
4V6W,eL15,CN
4V6W,uL16,CI
4V6W,uL18,CD
4V6W,eL18,CQ
4V6W,eL19,CR
4V6W,uL2,CA
4V6W,eL20,CS
4V6W,eL21,CT
4V6W,uL22,CP
4V6W,eL22,CU
4V6W,uL23,CX
4V6W,uL24,CY
4V6W,eL24,CW
4V6W,eL27,CZ
4V6W,eL28,Cr
4V6W,uL29,Ch
4V6W,eL29,Cb
4V6W,uL3,CB
4V6W,uL30,CF
4V6W,eL30,Cc
4V6W,eL31,Cd
4V6W,eL32,Ce
4V6W,eL33,Cf
4V6W,eL34,Cg
4V6W,eL36,Ci
4V6W,eL37,Cj
4V6W,eL38,Ck
4V6W,eL39,Cl
4V6W,uL4,CC
4V6W,eL40,Cm
4V6W,eL41,Cn
4V6W,eL43,Cp
4V6W,eL42,Co
4V6W,uL5,CJ
4V6W,uL6,CH
4V6W,eL6,CE
4V6W,eL8,CG
