X1,Y1,X2,Y2,Fill,Stroke,StrokeWidth,StrokeLineJoin,StrokeMiterLimit
'real(8,3)','real(8,3)','real(8,3)','real(8,3)',char(7),char(7),'real(6,3)',char(5),'real(6,3)'
499.621,382.979,503.521,381.862,,#23F120,0.25,round,10
522.355,265.438,519.21,267.671,,#23F120,0.25,round,10
454.961,456.601,456.264,452.935,,#23F120,0.25,round,10
443.87,410.052,441.295,407.808,,#23F120,0.25,round,10
409.716,409.124,409.755,405.233,,#23F120,0.25,round,10
438.263,511.317,434.815,511.317,,#23F120,0.25,round,10
422.951,537.841,424.254,534.175,,#23F120,0.25,round,10
415.979,505.534,419.139,503.265,,#23F120,0.25,round,10
421.529,447.767,419.521,451.653,,#23F120,0.25,round,10
334.508,661.585,336.804,663.312,,#23F120,0.25,round,10
263.582,661.741,265.326,660.317,,#23F120,0.25,round,10
280.438,635.474,282.872,635.474,,#23F120,0.25,round,10
264.493,629.538,267.354,629.538,,#23F120,0.25,round,10
319.031,628.817,321.892,628.817,,#23F120,0.25,round,10
335.528,629.89,333.487,631.214,,#23F120,0.25,round,10
220.314,335.688,218.352,333.442,,#23F120,0.25,round,10
271.71,166.892,269.074,166.892,,#23F120,0.25,round,10
295.718,327.11,297.512,324.536,,#23F120,0.25,round,10
339.688,229.69,343.258,229.69,,#23F120,0.25,round,10
358.386,198.903,355.805,198.903,,#23F120,0.25,round,10
357.481,227.22,353.985,227.22,,#23F120,0.25,round,10
372.165,210.755,374.647,210.755,,#23F120,0.25,round,10
457.471,54.249,456.17,57.44,,#23F120,0.25,round,10
458.208,181.333,461.158,182.776,,#23F120,0.25,round,10
451.054,222.231,448.675,222.386,,#23F120,0.25,round,10
448.379,204.161,451.127,204.085,,#23F120,0.25,round,10
467.82,210.056,463.339,211.327,,#23F120,0.25,round,10
454.79,170.915,457.538,170.839,,#23F120,0.25,round,10
492.27,195.55,494.813,198.478,,#23F120,0.25,round,10
474.872,192.433,472.337,194.854,,#23F120,0.25,round,10
462.587,667.927,462.587,664.683,,#23F120,0.25,round,10
399.861,553.149,397.802,554.649,,#23F120,0.25,round,10
344.187,540.097,345.94,537.56,,#23F120,0.25,round,10
378.183,386.573,375.762,386.69,,#23F120,0.25,round,10
379.025,447.446,376.616,445.831,,#23F120,0.25,round,10
379.623,473.612,377.269,475.308,,#23F120,0.25,round,10
333.82,463.142,331.035,465.653,,#23F120,0.25,round,10
327.465,496.479,325.362,494.167,,#23F120,0.25,round,10
298.808,466.462,298.896,468.97,,#23F120,0.25,round,10
285.815,463.968,283.163,463.968,,#23F120,0.25,round,10
268.081,446.655,268.169,450.665,,#23F120,0.25,round,10
215.324,607.333,217.757,607.333,,#23F120,0.25,round,10
200.394,604.229,203.026,604.229,,#23F120,0.25,round,10
62.383,275.63,64.444,273.177,,#23F120,0.25,round,10
130.002,266.187,127.366,266.187,,#23F120,0.25,round,10
111.147,280.872,108.511,280.872,,#23F120,0.25,round,10
267.097,350.815,265.284,354.368,,#23F120,0.25,round,10
280.509,364.858,280.584,366.96,,#23F120,0.25,round,10
214.373,376.874,212.479,378.151,,#23F120,0.25,round,10
300.663,301.944,297.575,301.944,,#23F120,0.25,round,10
273.381,307.741,275.537,304.647,,#23F120,0.25,round,10
279.137,290.665,275.986,290.665,,#23F120,0.25,round,10
249.895,265.312,248.188,267.319,,#23F120,0.25,round,10
230.224,256.036,227.938,254.345,,#23F120,0.25,round,10
258.179,222.022,255.754,219.866,,#23F120,0.25,round,10
270.261,193.394,266.699,196.964,,#23F120,0.25,round,10
278.257,138.147,275.621,138.147,,#23F120,0.25,round,10
245.824,49.706,245.646,52.544,,#23F120,0.25,round,10
253.976,67.46,250.326,69.894,,#23F120,0.25,round,10
253.461,96.649,250.217,96.649,,#23F120,0.25,round,10
251.244,129.185,255.282,131.562,,#23F120,0.25,round,10
225.185,147.468,227.179,142.96,,#23F120,0.25,round,10
251.807,183.042,254.736,182.958,,#23F120,0.25,round,10
241.336,212.476,243.421,215.159,,#23F120,0.25,round,10
224.046,235.583,226.474,237.612,,#23F120,0.25,round,10
204.904,245.87,203.084,247.776,,#23F120,0.25,round,10
178.558,247.995,180.945,245.651,,#23F120,0.25,round,10
192.462,268.146,195.318,270.911,,#23F120,0.25,round,10
179.828,285.513,182.905,288.38,,#23F120,0.25,round,10
179.904,314.263,177.064,312.694,,#23F120,0.25,round,10
198.329,293.644,197.821,290.739,,#23F120,0.25,round,10
218.46,283.64,220.895,283.411,,#23F120,0.25,round,10
215.502,312.831,217.565,314.921,,#23F120,0.25,round,10
236.72,316.077,234.757,313.831,,#23F120,0.25,round,10
299.676,352.339,300.666,347.587,,#23F120,0.25,round,10
319.773,370.206,321.803,367.962,,#23F120,0.25,round,10
321.188,380.683,321.455,384.587,,#23F120,0.25,round,10
283.459,375.444,283.535,377.546,,#23F120,0.25,round,10
259.437,327.292,259.603,322.796,,#23F120,0.25,round,10
244.732,348.792,248.504,348.808,,#23F120,0.25,round,10
257.725,380.698,260.294,378.739,,#23F120,0.25,round,10
268.76,405.144,272.024,407.696,,#23F120,0.25,round,10
243.069,396.062,240.155,396.099,,#23F120,0.25,round,10
238.154,359.833,238.152,365.257,,#23F120,0.25,round,10
223.782,384.735,228.254,388.14,,#23F120,0.25,round,10
183.779,350.831,182.142,352.374,,#23F120,0.25,round,10
178.214,323.614,175.251,324.601,,#23F120,0.25,round,10
143.096,310.661,143.117,313.819,,#23F120,0.25,round,10
120.563,300.524,118.903,302.573,,#23F120,0.25,round,10
107.147,253.679,105.379,256.112,,#23F120,0.25,round,10
76.989,255.454,76.989,258.394,,#23F120,0.25,round,10
90.318,275.837,92.378,273.384,,#23F120,0.25,round,10
94.224,302.745,91.583,305.28,,#23F120,0.25,round,10
116.421,320.06,118.609,317.847,,#23F120,0.25,round,10
125.362,343.899,129.266,340.819,,#23F120,0.25,round,10
155.73,364.677,155.746,361.837,,#23F120,0.25,round,10
178.73,372.864,184.628,370.097,,#23F120,0.25,round,10
193.695,382.778,195.188,379.718,,#23F120,0.25,round,10
211.01,398.507,217.146,397.765,,#23F120,0.25,round,10
189.656,403.313,192.808,403.313,,#23F120,0.25,round,10
194.674,431.837,198.275,432.479,,#23F120,0.25,round,10
172.623,441.479,173.88,443.21,,#23F120,0.25,round,10
189.875,454.167,189.875,451.733,,#23F120,0.25,round,10
225.331,464.108,228.2,462.024,,#23F120,0.25,round,10
214.465,477.474,217.305,478.69,,#23F120,0.25,round,10
210.935,508.202,213.324,509.501,,#23F120,0.25,round,10
197.28,538.63,199.309,538.63,,#23F120,0.25,round,10
200.744,571.378,202.367,571.378,,#23F120,0.25,round,10
215.324,577.54,217.757,577.54,,#23F120,0.25,round,10
222.59,549.155,219.361,549.147,,#23F120,0.25,round,10
224.014,524.024,221.998,522.771,,#23F120,0.25,round,10
234.001,497.067,231.73,495.96,,#23F120,0.25,round,10
248.763,459.509,245.627,457.489,,#23F120,0.25,round,10
264.449,462.581,271.61,461.749,,#23F120,0.25,round,10
265.647,424.886,263.251,423.345,,#23F120,0.25,round,10
281.04,431.421,282.466,433.228,,#23F120,0.25,round,10
250.577,483.368,252.764,484.929,,#23F120,0.25,round,10
261.847,497.991,261.847,492.505,,#23F120,0.25,round,10
261.796,513.481,265.114,513.354,,#23F120,0.25,round,10
247.981,535.739,249.665,537.257,,#23F120,0.25,round,10
239.219,560.438,238.779,563.515,,#23F120,0.25,round,10
263.455,551.19,260.355,546.317,,#23F120,0.25,round,10
282.449,547.257,284.546,545.083,,#23F120,0.25,round,10
306.34,559.792,307.907,558.226,,#23F120,0.25,round,10
309.355,541.038,307.448,543.155,,#23F120,0.25,round,10
283.799,524.614,282.363,526.208,,#23F120,0.25,round,10
280.021,496.044,277.385,496.044,,#23F120,0.25,round,10
347.619,486.771,345.517,484.458,,#23F120,0.25,round,10
307.835,433.306,309.226,430.54,,#23F120,0.25,round,10
310.504,452.302,313.344,452.302,,#23F120,0.25,round,10
350.254,463.993,352.632,468.106,,#23F120,0.25,round,10
301.571,483.851,301.571,481.417,,#23F120,0.25,round,10
326.953,437.53,324.301,437.53,,#23F120,0.25,round,10
355.37,387.591,352.851,385.554,,#23F120,0.25,round,10
365.089,405.319,361.474,407.448,,#23F120,0.25,round,10
364.724,438.999,361.26,438.999,,#23F120,0.25,round,10
364.893,466.991,361.918,465.7,,#23F120,0.25,round,10
332.714,394.151,331.189,391.87,,#23F120,0.25,round,10
339.733,405.474,340.326,400.136,,#23F120,0.25,round,10
360.126,500.239,363.104,497.747,,#23F120,0.25,round,10
381.88,413.376,379.273,414.269,,#23F120,0.25,round,10
382.844,433.089,380.435,431.474,,#23F120,0.25,round,10
339.304,521.196,339.304,524.442,,#23F120,0.25,round,10
387.234,568.687,390.482,570.601,,#23F120,0.25,round,10
416.028,573.79,419.652,571.712,,#23F120,0.25,round,10
405.985,587.333,405.83,589.909,,#23F120,0.25,round,10
378.906,574.796,374.011,574.054,,#23F120,0.25,round,10
377.538,596.784,380.367,598.573,,#23F120,0.25,round,10
358.954,619.362,361.022,621.745,,#23F120,0.25,round,10
365.082,634.009,367.378,635.735,,#23F120,0.25,round,10
392.398,630.024,392.193,627.009,,#23F120,0.25,round,10
409.028,641.966,412.149,639.534,,#23F120,0.25,round,10
430.883,672.585,432.627,671.161,,#23F120,0.25,round,10
465.759,684.022,465.759,680.778,,#23F120,0.25,round,10
476.036,702.399,477.659,700.372,,#23F120,0.25,round,10
497.451,680.36,499.812,682.507,,#23F120,0.25,round,10
493.954,652.495,490.968,650.872,,#23F120,0.25,round,10
476.317,653.813,479.165,653.802,,#23F120,0.25,round,10
442.354,657.97,440.553,659.606,,#23F120,0.25,round,10
424.917,633.019,422.704,636.45,,#23F120,0.25,round,10
418.853,609.853,416.374,607.054,,#23F120,0.25,round,10
462.986,587.571,459.287,589.671,,#23F120,0.25,round,10
429.728,624.95,432.937,625.421,,#23F120,0.25,round,10
504.269,598.622,500.877,597.331,,#23F120,0.25,round,10
522.741,578.702,519.548,577.999,,#23F120,0.25,round,10
480.78,517.435,479.865,515.073,,#23F120,0.25,round,10
495.916,495.413,492.987,495.413,,#23F120,0.25,round,10
471.524,496.372,473.81,497.688,,#23F120,0.25,round,10
453.766,519.06,457.34,520.489,,#23F120,0.25,round,10
454.878,545.185,457.716,545.185,,#23F120,0.25,round,10
426.548,556.054,426.087,559.265,,#23F120,0.25,round,10
402.38,536.294,400.32,537.794,,#23F120,0.25,round,10
395.206,456.534,394.018,455.077,,#23F120,0.25,round,10
397.46,441.28,398.017,439.778,,#23F120,0.25,round,10
437.754,539.44,434.925,540.491,,#23F120,0.25,round,10
413.17,607.661,408.709,606.444,,#23F120,0.25,round,10
355.823,550.675,352.215,550.733,,#23F120,0.25,round,10
382.896,536.341,375.896,538.827,,#23F120,0.25,round,10
379.497,484.136,382.136,484.161,,#23F120,0.25,round,10
251.426,150.61,255.117,150.532,,#23F120,0.25,round,10
368.316,185.542,370.799,185.542,,#23F120,0.25,round,10
382.393,153.919,382.418,156.786,,#23F120,0.25,round,10
475.698,234.882,474.638,232.769,,#23F120,0.25,round,10
431.158,218.341,428.271,218.495,,#23F120,0.25,round,10
430.483,273.202,428.155,274.507,,#23F120,0.25,round,10
448.008,265.987,450.248,266.474,,#23F120,0.25,round,10
423.713,409.683,425.336,408.06,,#23F120,0.25,round,10
496.452,391.429,499.826,389.179,,#23F120,0.25,round,10
438.196,223.491,432.474,211.28,,#23F120,0.25,round,10
451.634,341.065,451.634,343.677,,#23F120,0.25,round,10
308.899,328.745,311.947,329.253,,#23F120,0.25,round,10
330.081,310.954,332.932,312.896,,#23F120,0.25,round,10
326.701,299.659,328.391,296.655,,#23F120,0.25,round,10
303.632,283.933,303.632,280.647,,#23F120,0.25,round,10
272.848,281.925,272.657,279.931,,#23F120,0.25,round,10
291.701,268.728,291.701,265.415,,#23F120,0.25,round,10
297.483,251.632,300.93,251.515,,#23F120,0.25,round,10
454.77,440.856,452.55,441.673,,#23F120,0.25,round,10
314.785,240.755,313.083,244.847,,#23F120,0.25,round,10
319.507,262.181,319.507,265.341,,#23F120,0.25,round,10
339.114,275.083,345.377,282.015,,#23F120,0.25,round,10
337.616,257.667,338.874,255.698,,#23F120,0.25,round,10
325.347,235.96,325.323,240.071,,#23F120,0.25,round,10
339.357,195.218,342.928,195.218,,#23F120,0.25,round,10
371.828,237.772,374.584,241.091,,#23F120,0.25,round,10
392.388,188.171,388.892,188.171,,#23F120,0.25,round,10
404.342,236.089,404.159,233.058,,#23F120,0.25,round,10
389.297,256.71,391.779,259.106,,#23F120,0.25,round,10
389.854,280.728,392.546,279.655,,#23F120,0.25,round,10
391.477,215.915,388.581,217.515,,#23F120,0.25,round,10
372.085,263.315,374.98,258.919,,#23F120,0.25,round,10
372.795,287.937,371.556,284.802,,#23F120,0.25,round,10
355.18,257.718,359.548,258.114,,#23F120,0.25,round,10
358.413,288.208,356.315,288.208,,#23F120,0.25,round,10
341.593,326.677,338.728,324.636,,#23F120,0.25,round,10
321.573,346.202,317.975,347.226,,#23F120,0.25,round,10
344.72,365.63,344.962,368.698,,#23F120,0.25,round,10
350.324,344.556,352.43,347.181,,#23F120,0.25,round,10
367.896,362.478,364.524,362.981,,#23F120,0.25,round,10
387.72,351.312,383.729,348.741,,#23F120,0.25,round,10
408.956,313.94,405.515,313.167,,#23F120,0.25,round,10
413.309,264.089,416.756,264.089,,#23F120,0.25,round,10
412.024,219.302,416.841,225.872,,#23F120,0.25,round,10
413.822,195.036,416.57,194.962,,#23F120,0.25,round,10
412.601,159.403,416.048,159.403,,#23F120,0.25,round,10
408.435,130.546,412.913,128.556,,#23F120,0.25,round,10
429.59,104.802,429.59,109.669,,#23F120,0.25,round,10
446.231,104.802,449.162,103.243,,#23F120,0.25,round,10
444.058,84.081,447.302,84.081,,#23F120,0.25,round,10
463.136,84.235,459.688,84.235,,#23F120,0.25,round,10
469.562,118.354,466.114,118.354,,#23F120,0.25,round,10
440.58,127.673,440.58,124.429,,#23F120,0.25,round,10
431.094,144.374,427.646,144.374,,#23F120,0.25,round,10
429.84,172.04,427.682,174.249,,#23F120,0.25,round,10
433.489,197.323,431.258,194.89,,#23F120,0.25,round,10
473.87,217.028,475.592,219.144,,#23F120,0.25,round,10
498.663,215.835,495.948,218.937,,#23F120,0.25,round,10
481.872,172.433,479.337,174.854,,#23F120,0.25,round,10
522.845,214.907,522.845,218.095,,#23F120,0.25,round,10
517.599,236.817,517.599,233.446,,#23F120,0.25,round,10
494.178,242.499,491.31,240.675,,#23F120,0.25,round,10
465.609,250.206,464.481,243.929,,#23F120,0.25,round,10
468.335,263.519,463.873,261.896,,#23F120,0.25,round,10
447.593,251.315,450.9,242.487,,#23F120,0.25,round,10
430.844,248.144,428.158,246.335,,#23F120,0.25,round,10
462.333,279.802,462.333,282.054,,#23F120,0.25,round,10
490.138,268.761,490.138,272.005,,#23F120,0.25,round,10
495.686,287.331,494.659,283.493,,#23F120,0.25,round,10
473.24,297.329,469.203,292.476,,#23F120,0.25,round,10
472.167,324.167,469.294,324.462,,#23F120,0.25,round,10
498.335,340.696,496.496,343.188,,#23F120,0.25,round,10
530.464,340.612,530.652,344.679,,#23F120,0.25,round,10
539.226,357.046,537.628,359.604,,#23F120,0.25,round,10
518.171,362.448,515.507,357.124,,#23F120,0.25,round,10
478.441,352.864,478.621,349.774,,#23F120,0.25,round,10
426.688,342.886,429.56,342.866,,#23F120,0.25,round,10
408.245,350.897,407.955,345.679,,#23F120,0.25,round,10
391.11,372.091,385.837,372.36,,#23F120,0.25,round,10
412.666,389.017,412.622,392.632,,#23F120,0.25,round,10
448.751,387.761,450.715,390.304,,#23F120,0.25,round,10
454.474,369.585,456.749,367.632,,#23F120,0.25,round,10
473.534,384.61,470.201,384.513,,#23F120,0.25,round,10
555.442,403.054,551.757,401.421,,#23F120,0.25,round,10
520.526,390.063,520.346,392.983,,#23F120,0.25,round,10
524.627,404.538,521.852,408.03,,#23F120,0.25,round,10
498.978,408.712,499.017,404.821,,#23F120,0.25,round,10
473.033,440.948,469.919,440.952,,#23F120,0.25,round,10
472.988,415.212,470.413,412.968,,#23F120,0.25,round,10
450.319,422.374,454.292,423.071,,#23F120,0.25,round,10
440.163,451.677,436.198,450.821,,#23F120,0.25,round,10
438.989,482.647,435.542,482.647,,#23F120,0.25,round,10
413.451,465.28,412.607,468.606,,#23F120,0.25,round,10
488.729,362.101,492.628,360.983,,#23F120,0.25,round,10
421.858,432.983,421.834,435.851,,#23F120,0.25,round,10
392.683,229.993,391.2,228.849,,#23F120,0.25,round,10
379.298,302.679,377.229,301.079,,#23F120,0.25,round,10
367.333,516.245,363.429,512.526,,#23F120,0.25,round,10
287.922,340.308,283.965,340.136,,#23F120,0.25,round,10
259.698,315.341,263.996,314.618,,#23F120,0.25,round,10
270.586,81.208,267.342,81.208,,#23F120,0.25,round,10
269.771,110.421,266.526,110.421,,#23F120,0.25,round,10
495.712,171.106,494.304,175.032,,#23F120,0.25,round,10
440.492,363.173,443.099,364.38,,#23F120,0.25,round,10
472.499,351.61,469.354,352.399,,#23F120,0.25,round,10
423.55,474.304,418.236,480.431,,#23F120,0.25,round,10
312.318,479.185,309.456,481.226,,#23F120,0.25,round,10
472.518,542.048,469.25,542.146,,#23F120,0.25,round,10
494.272,543.63,491.679,545.62,,#23F120,0.25,round,10
499.549,567.606,496.525,568.851,,#23F120,0.25,round,10
512.494,613.897,510.889,615.726,,#23F120,0.25,round,10
513.838,637.843,512.419,640.485,,#23F120,0.25,round,10
492.761,622.411,491.342,625.056,,#23F120,0.25,round,10
460.339,633.345,460.339,630.101,,#23F120,0.25,round,10
439.709,608.632,439.746,611.558,,#23F120,0.25,round,10
430.608,596.058,431.923,599.3,,#23F120,0.25,round,10
389.364,736,566.364,736,,#23F120,1,round,10
