X1,Y1,X2,Y2,Fill,Stroke,StrokeWidth,StrokeLineJoin,StrokeMiterLimit
"real(8,3)","real(8,3)","real(8,3)","real(8,3)",char(7),char(7),"real(6,3)",char(5),"real(6,3)"
497.335,574.747,497.982,578.088,,#231F20,0.25,round,10
472.176,581.989,474.276,584.666,,#231F20,0.25,round,10
475.132,608.214,476.961,605.823,,#231F20,0.25,round,10
496.553,626.527,498.977,624.742,,#231F20,0.25,round,10
469.482,627.998,472.175,626.652,,#231F20,0.25,round,10
414.723,629.435,414.117,626.487,,#231F20,0.25,round,10
411.896,609.165,410.777,607.45,,#231F20,0.25,round,10
432.934,598.109,431.206,595.456,,#231F20,0.25,round,10
414.153,587.615,412.373,584.882,,#231F20,0.25,round,10
396.65,603.311,396.287,600.012,,#231F20,0.25,round,10
392.888,618.084,395.475,616.545,,#231F20,0.25,round,10
409.035,646.571,411.622,645.032,,#231F20,0.25,round,10
425.479,663.396,425.508,660.045,,#231F20,0.25,round,10
443.366,654.698,446.07,654.671,,#231F20,0.25,round,10
462.424,640.244,465.128,640.217,,#231F20,0.25,round,10
476.245,670.07,478.949,670.043,,#231F20,0.25,round,10
456.154,703.331,456.177,700.746,,#231F20,0.25,round,10
437.096,681.457,439.406,679.527,,#231F20,0.25,round,10
409.26,676.91,410.834,674.345,,#231F20,0.25,round,10
379.563,628.66,382.148,627.121,,#231F20,0.25,round,10
390.231,656.583,392.067,654.198,,#231F20,0.25,round,10
359.667,628.657,360.3,625.715,,#231F20,0.25,round,10
337.315,638.46,336.635,635.354,,#231F20,0.25,round,10
342.068,615.138,340.386,612.438,,#231F20,0.25,round,10
360.901,595.035,363.857,594.465,,#231F20,0.25,round,10
369.428,575.245,371.973,573.64,,#231F20,0.25,round,10
387.337,589.474,385.898,587.267,,#231F20,0.25,round,10
390.281,573.521,392.865,571.979,,#231F20,0.25,round,10
372.575,563.002,372.431,557.688,,#231F20,0.25,round,10
341.786,564.716,343.769,562.452,,#231F20,0.25,round,10
332.829,534.53,330.446,533.406,,#231F20,0.25,round,10
353.45,524.754,354.671,523.358,,#231F20,0.25,round,10
333.314,525.648,333.341,522.542,,#231F20,0.25,round,10
334.602,511.428,332.62,509.69,,#231F20,0.25,round,10
352.4,501.899,351.684,495.734,,#231F20,0.25,round,10
353.639,445.072,350.209,437.948,,#231F20,0.25,round,10
358.62,413.763,355.988,413.87,,#231F20,0.25,round,10
348.211,407.081,345.912,397.852,,#231F20,0.25,round,10
345.904,424.367,348.396,422.445,,#231F20,0.25,round,10
345.569,451.714,347.318,454.329,,#231F20,0.25,round,10
345.006,479.111,346.755,481.727,,#231F20,0.25,round,10
329.157,478.701,331.861,478.674,,#231F20,0.25,round,10
325.404,453.688,327.153,456.303,,#231F20,0.25,round,10
330.286,435.829,332.99,435.802,,#231F20,0.25,round,10
320.064,438.547,322.058,440.982,,#231F20,0.25,round,10
317.453,469.176,320.157,469.148,,#231F20,0.25,round,10
321.705,499.059,324.366,498.574,,#231F20,0.25,round,10
315.899,526.674,318.604,526.646,,#231F20,0.25,round,10
315.899,557.318,318.604,557.291,,#231F20,0.25,round,10
300.985,558.624,303.264,560.081,,#231F20,0.25,round,10
299.581,527.541,302.125,531.391,,#231F20,0.25,round,10
295.615,503.334,298.276,502.85,,#231F20,0.25,round,10
301.57,471.617,304.274,471.59,,#231F20,0.25,round,10
303.156,458.047,304.161,450.204,,#231F20,0.25,round,10
276.641,470.275,279.974,468.689,,#231F20,0.25,round,10
301.76,437.572,302.922,428.635,,#231F20,0.25,round,10
326.955,413.777,328.704,416.393,,#231F20,0.25,round,10
330.392,395.88,333.291,393.643,,#231F20,0.25,round,10
324.47,390.098,326.048,388.88,,#231F20,0.25,round,10
312.096,389.821,313.953,388.388,,#231F20,0.25,round,10
305.968,405.215,303.436,404.487,,#231F20,0.25,round,10
299.187,589.256,296.114,589.244,,#231F20,0.25,round,10
308.554,607.68,306.773,604.946,,#231F20,0.25,round,10
338.101,597.424,340.688,595.885,,#231F20,0.25,round,10
318.001,621.924,316.221,619.19,,#231F20,0.25,round,10
315.745,651.256,313.965,648.521,,#231F20,0.25,round,10
278.049,649.387,279.458,646.729,,#231F20,0.25,round,10
256.348,664.19,254.621,661.537,,#231F20,0.25,round,10
265.489,633.181,268.328,632.184,,#231F20,0.25,round,10
233.45,630.066,234.083,627.124,,#231F20,0.25,round,10
233.247,606.552,231.466,603.818,,#231F20,0.25,round,10
266.027,612.439,266.66,609.497,,#231F20,0.25,round,10
282.687,596.872,279.614,596.86,,#231F20,0.25,round,10
282.204,421.698,284.313,424.107,,#231F20,0.25,round,10
264.181,457.886,265.805,459.771,,#231F20,0.25,round,10
260.196,483.497,262.9,483.47,,#231F20,0.25,round,10
264.083,510.822,266.065,508.559,,#231F20,0.25,round,10
286.625,525.625,289.625,523,,#231F20,0.25,round,10
289.25,547,288.25,541.75,,#231F20,0.25,round,10
263.32,529.413,266.5,528.842,,#231F20,0.25,round,10
245.868,536.723,243.762,533.488,,#231F20,0.25,round,10
215.145,546.451,217.132,544.615,,#231F20,0.25,round,10
238.68,519.928,236.93,517.239,,#231F20,0.25,round,10
243.838,497.867,246.542,497.84,,#231F20,0.25,round,10
241.981,488.047,241.912,484.84,,#231F20,0.25,round,10
230.1,467.56,232.804,467.532,,#231F20,0.25,round,10
246.083,450.902,247.869,452.352,,#231F20,0.25,round,10
248.534,444.677,253.979,449.092,,#231F20,0.25,round,10
258.504,429.484,261.208,429.457,,#231F20,0.25,round,10
239.325,422.714,242.029,422.688,,#231F20,0.25,round,10
209.417,464.863,211.861,466.846,,#231F20,0.25,round,10
200.261,491.252,202.965,491.225,,#231F20,0.25,round,10
187.569,521.571,190.273,521.544,,#231F20,0.25,round,10
171.745,516.759,174.226,518.462,,#231F20,0.25,round,10
189.933,554.906,191.318,552.235,,#231F20,0.25,round,10
188.698,584.893,191.402,584.865,,#231F20,0.25,round,10
186.582,612.392,189.286,612.364,,#231F20,0.25,round,10
169.942,617.821,172.646,617.794,,#231F20,0.25,round,10
169.377,584.879,172.081,584.852,,#231F20,0.25,round,10
164.188,521.031,163.732,517.854,,#231F20,0.25,round,10
138.644,529.092,141.045,527.846,,#231F20,0.25,round,10
156.562,503.439,154.153,501.321,,#231F20,0.25,round,10
169.829,468.024,169.373,464.848,,#231F20,0.25,round,10
194.328,455.556,196.772,457.538,,#231F20,0.25,round,10
178.078,446.619,176.918,443.628,,#231F20,0.25,round,10
147.901,441.293,151.073,444.235,,#231F20,0.25,round,10
178.149,430.542,176.989,427.551,,#231F20,0.25,round,10
170.094,410.491,172.495,409.245,,#231F20,0.25,round,10
189.803,397.791,194.926,397.739,,#231F20,0.25,round,10
175.029,386.658,177.43,385.412,,#231F20,0.25,round,10
160.517,371.104,165.64,371.053,,#231F20,0.25,round,10
143.547,366.595,142.911,363.45,,#231F20,0.25,round,10
112.567,349.929,115.088,348.949,,#231F20,0.25,round,10
102.687,326.871,104.516,324.48,,#231F20,0.25,round,10
79.347,311.359,81.176,308.968,,#231F20,0.25,round,10
79.841,282.167,81.67,279.776,,#231F20,0.25,round,10
59.744,282.406,59.766,279.821,,#231F20,0.25,round,10
64.949,263.932,64.977,260.806,,#231F20,0.25,round,10
91.405,260.203,93.234,257.812,,#231F20,0.25,round,10
112.636,268.77,115.157,267.79,,#231F20,0.25,round,10
92.942,281.62,95.646,281.593,,#231F20,0.25,round,10
101.982,306.071,103.811,303.68,,#231F20,0.25,round,10
123.317,321.598,123.345,318.472,,#231F20,0.25,round,10
154.71,324.985,157.415,324.958,,#231F20,0.25,round,10
159.802,351.268,161.631,348.877,,#231F20,0.25,round,10
192.238,374.397,194.067,372.006,,#231F20,0.25,round,10
204.27,361.493,206.714,363.475,,#231F20,0.25,round,10
204.586,384.948,207.981,390.175,,#231F20,0.25,round,10
218.876,379.49,221.581,379.463,,#231F20,0.25,round,10
233.864,408.939,234.741,404.992,,#231F20,0.25,round,10
246.108,384.128,247.938,381.737,,#231F20,0.25,round,10
225.426,369.622,225.749,366.629,,#231F20,0.25,round,10
