LabelText,X,Y,Font,FontSize,Fill
varchar(500),"real(8,3)","real(8,3)",varchar(100),"real(6,3)",char(7)
5\',115.1001,469.3818,MyriadPro-Regular,24,#5AA0D7
C,170.7417,234.127,MyriadPro-Regular,24,#B27643
3\'M,448.9209,281.3984,MyriadPro-Regular,24,#F499C1
3\'m,354.3086,509.1602,MyriadPro-Regular,24,#0BA34A
1,279.6587,384.4688,MyriadPro-Regular,7,#0D72BA
2,313.7617,367.6758,MyriadPro-Regular,7,#0D72BA
3,251.4121,386.7773,MyriadPro-Regular,7,#0D72BA
4,227.7412,411.5098,MyriadPro-Regular,7,#0D72BA
5,227.938,438.25,MyriadPro-Regular,7,#0D72BA
6,264.4141,423.9453,MyriadPro-Regular,7,#0D72BA
7,229.4248,546.3301,MyriadPro-Regular,7,#0D72BA
8,271.168,596.2383,MyriadPro-Regular,7,#0D72BA
9,226.606,641.4609,MyriadPro-Regular,7,#0D72BA
10,176.104,596.4746,MyriadPro-Regular,7,#0D72BA
11,175.355,574.4551,MyriadPro-Regular,7,#0D72BA
12,160.748,514.8809,MyriadPro-Regular,7,#0D72BA
13,175.5244,473.4023,MyriadPro-Regular,7,#0D72BA
14,182.0039,444.6562,MyriadPro-Regular,7,#0D72BA
15,159.604,426.1328,MyriadPro-Regular,7,#0D72BA
16,145.104,382.2773,MyriadPro-Regular,7,#0D72BA
17,141.3799,326.793,MyriadPro-Regular,7,#0D72BA
18,211.104,331.2314,MyriadPro-Regular,7,#0D72BA
19,279.6587,312.876,MyriadPro-Regular,7,#0D72BA
20,225.3096,283.084,MyriadPro-Regular,7,#0D72BA
21,159.7344,282.9521,MyriadPro-Regular,7,#0D72BA
22,213.9414,205.6387,MyriadPro-Regular,7,#0D72BA
23,208.9482,164.4775,MyriadPro-Regular,7,#0D72BA
24,296.0415,249.2402,MyriadPro-Regular,7,#0D72BA
25,313.2959,296.9092,MyriadPro-Regular,7,#0D72BA
26,334.8457,285.7148,MyriadPro-Regular,7,#0D72BA
27,321.2959,355.6914,MyriadPro-Regular,7,#0D72BA
28,360.7881,372.9062,MyriadPro-Regular,7,#0D72BA
29,389.5,367.3232,MyriadPro-Regular,7,#0D72BA
30,394.0557,354.6699,MyriadPro-Regular,7,#0D72BA
31,368.2158,320.0107,MyriadPro-Regular,7,#0D72BA
32,424.3398,287.4189,MyriadPro-Regular,7,#0D72BA
33,318.5703,252.4482,MyriadPro-Regular,7,#0D72BA
34,394.9258,206.1348,MyriadPro-Regular,7,#0D72BA
35,382.8418,193.3496,MyriadPro-Regular,7,#0D72BA
36,352.5947,181.0518,MyriadPro-Regular,7,#0D72BA
37,366.2061,154.9492,MyriadPro-Regular,7,#0D72BA
38,432.0176,166.5586,MyriadPro-Regular,7,#0D72BA
39,485.9365,193.873,MyriadPro-Regular,7,#0D72BA
