StructureName,MoleculeName,ChainName
4V9D,16S,AA
4V9D,23S,CA
4V9D,5S,CB
4V9D,uS2,AB
4V9D,uS3,AC
4V9D,uS4,AD
4V9D,uS5,AE
4V9D,bS6,AF
4V9D,uS7,AG
4V9D,uS8,AH
4V9D,uS9,AI
4V9D,uS10,AJ
4V9D,uS11,AK
4V9D,uS12,AL
4V9D,uS13,AM
4V9D,uS14,AN
4V9D,uS15,AO
4V9D,bS16,AP
4V9D,uS17,AQ
4V9D,bS18,AR
4V9D,uS19,AS
4V9D,bS20,AT
4V9D,bS21,AU
4V9D,uL2,CC
4V9D,uL3,CD
4V9D,uL4,CE
4V9D,uL5,CF
4V9D,uL6,CG
4V9D,bL9,CH
4V9D,uL11,CI
4V9D,uL13,CJ
4V9D,uL14,CK
4V9D,uL15,CL
4V9D,uL16,CM
4V9D,bL17,CN
4V9D,uL18,CO
4V9D,bL19,CP
4V9D,bL20,CQ
4V9D,bL21,CR
4V9D,uL22,CS
4V9D,uL23,CT
4V9D,uL24,CU
4V9D,bL25,CV
4V9D,bL27,CW
4V9D,bL28,CX
4V9D,uL29,CY
4V9D,uL30,CZ
4V9D,bL32,C0
4V9D,bL33,C1
4V9D,bL34,C2
4V9D,bL35,C3
4V9D,bL36,C4
4V9D,bL36,C4
