X1,Y1,X2,Y2,Fill,Stroke,StrokeWidth,StrokeLineJoin,StrokeMiterLimit
"real(8,3)","real(8,3)","real(8,3)","real(8,3)",char(7),char(7),"real(6,3)",char(5),"real(6,3)"
288.713,416.446,291.639,416.478,,#231F20,0.25,round,10
413.424,495.355,416.328,495.703,,#231F20,0.25,round,10
308.834,491.06,308.834,493.986,,#231F20,0.25,round,10
263.741,462.778,265.713,460.617,,#231F20,0.25,round,10
199.294,336.651,200.53,339.305,,#231F20,0.25,round,10
112.352,374.957,114.617,376.81,,#231F20,0.25,round,10
87.695,431.426,90.431,433.6,,#231F20,0.3002,round,10
151.536,305.196,154.438,305.579,,#231F20,0.25,round,10
37.486,350.197,35.686,352.503,,#231F20,0.25,round,10
87.953,222.431,87.523,225.325,,#231F20,0.25,round,10
151.55,93.546,151.389,96.468,,#231F20,0.25,round,10
187.484,119.828,189.736,117.959,,#231F20,0.25,round,10
171.454,273.433,169.274,275.386,,#231F20,0.25,round,10
261.323,292.649,263.918,294.001,,#231F20,0.25,round,10
280.148,203.17,281.883,205.527,,#231F20,0.25,round,10
306.603,224.612,308.337,226.969,,#231F20,0.25,round,10
464.669,233.997,466.736,231.925,,#231F20,0.25,round,10
471.826,83.669,469.794,85.775,,#231F20,0.25,round,10
542.864,112.639,542.693,115.561,,#231F20,0.25,round,10
524.396,178.935,526.262,181.19,,#231F20,0.25,round,10
481.994,302.25,479.079,302.507,,#231F20,0.25,round,10
587.631,385.349,585.874,382.474,,#231F20,0.2835,round,10
604.018,158.343,606.148,160.35,,#231F20,0.25,round,10
653.218,269.562,651.054,267.59,,#231F20,0.25,round,10
756.032,293.851,754.744,296.479,,#231F20,0.25,round,10
640.456,313.861,639.211,316.51,,#231F20,0.25,round,10
716.15,400.766,715.547,403.63,,#231F20,0.25,round,10
688.275,507.021,689.2,509.798,,#231F20,0.25,round,10
614.579,434.054,613.094,436.576,,#231F20,0.25,round,10
573.08,463.301,576.007,463.323,,#231F20,0.25,round,10
558.384,517.643,559.956,520.112,,#231F20,0.25,round,10
503.643,485.331,500.718,485.257,,#231F20,0.25,round,10
463.569,497.982,461.207,496.258,,#231F20,0.25,round,10
577.048,592.5,754.048,592.5,,#231F20,1,round,10
