LabelText,X,Y,Font,FontSize,Fill
varchar(500),"real(8,3)","real(8,3)",varchar(100),"real(6,3)",char(7)
5S,86.4189,438.9922,MyriadPro-Regular,21,#8EC642
VI,470.4746,472.4316,MyriadPro-Regular,21,#0EA44A
V,531.084,177.7061,MyriadPro-Regular,21,#F29AC1
IV,336.8145,123.7148,MyriadPro-Regular,21,#E9E617
III,158.0991,201.4595,MyriadPro-Regular,21,#CC9BC6
II,134.1309,567.8154,MyriadPro-Regular,21,#5BA0D7
I,391.5625,704.6172,MyriadPro-Regular,21,#A097CA
0,341.4746,340.9629,MyriadPro-Regular,21,#FDC696
2S,532.6367,577.8301,MyriadPro-Regular,21,#B37744
5.8S,471.3545,513.3477,MyriadPro-Regular,21,#B37744
1,95.4956,497.6191,MyriadPro-Regular,5.5,#0D72B9
2,82.1499,457.709,MyriadPro-Regular,5.5,#0D72B9
3,55.5161,427.2637,MyriadPro-Regular,5.5,#0D72B9
4,131.6729,474.1943,MyriadPro-Regular,5.5,#0D72B9
5,101.9609,485.1396,MyriadPro-Regular,5.5,#0D72B9
46,256.624,370.6514,MyriadPro-Regular,5.5,#0D72B9
42,87.582,323.5254,MyriadPro-Regular,5.5,#0D72B9
43,27.7041,264.6182,MyriadPro-Regular,5.5,#0D72B9
44,101.9609,249.5537,MyriadPro-Regular,5.5,#0D72B9
2,374.6484,459.2822,MyriadPro-Regular,5.5,#0D72B9
4,416.6963,581.2139,MyriadPro-Regular,5.5,#0D72B9
5,476.2422,572.3418,MyriadPro-Regular,5.5,#0D72B9
6,445.1387,559.4238,MyriadPro-Regular,5.5,#0D72B9
7,486.5352,552.2188,MyriadPro-Regular,5.5,#0D72B9
8,488.9453,573.2783,MyriadPro-Regular,5.5,#0D72B9
9,496.8467,581.6641,MyriadPro-Regular,5.5,#0D72B9
10,522.5215,617.1943,MyriadPro-Regular,5.5,#0D72B9
11,511.0703,642.2764,MyriadPro-Regular,5.5,#0D72B9
12,449.8242,674.9277,MyriadPro-Regular,5.5,#0D72B9
13,434.6855,624.2119,MyriadPro-Regular,5.5,#0D72B9
14,406.291,636.2559,MyriadPro-Regular,5.5,#0D72B9
15,536.9805,680.2422,MyriadPro-Regular,5.5,#0D72B9
16,399.7646,672.5488,MyriadPro-Regular,5.5,#0D72B9
19,497.5137,677.5869,MyriadPro-Regular,5.5,#0D72B9
20,501.2754,727.5605,MyriadPro-Regular,5.5,#0D72B9
21,369.5684,671.8789,MyriadPro-Regular,5.5,#0D72B9
22,401.7451,619.2227,MyriadPro-Regular,5.5,#0D72B9
23,348.4229,575.9648,MyriadPro-Regular,5.5,#0D72B9
24,346.5859,559.4238,MyriadPro-Regular,5.5,#0D72B9
25,335.1699,391.5234,MyriadPro-Regular,5.5,#0D72B9
26,292.0508,372.46,MyriadPro-Regular,5.5,#0D72B9
27,279.4106,654.8535,MyriadPro-Regular,5.5,#0D72B9
28,312.8047,666.0742,MyriadPro-Regular,5.5,#0D72B9
29,314.9844,720.6514,MyriadPro-Regular,5.5,#0D72B9
32,246.749,456.5469,MyriadPro-Regular,5.5,#0D72B9
33,242.918,503.2061,MyriadPro-Regular,5.5,#0D72B9
34,253.1968,591.2178,MyriadPro-Regular,5.5,#0D72B9
35,216.252,546.082,MyriadPro-Regular,5.5,#0D72B9
35a,225.7368,503.5732,MyriadPro-Regular,5.5,#0D72B9
36,240.8979,408.918,MyriadPro-Regular,5.5,#0D72B9
37,226.1431,470.6211,MyriadPro-Regular,5.5,#0D72B9
38a,158.0991,588.3682,MyriadPro-Regular,5.5,#0D72B9
39,149.7881,442.6914,MyriadPro-Regular,5.5,#0D72B9
40,161.9819,406.1504,MyriadPro-Regular,5.5,#0D72B9
41,148.9712,378.79,MyriadPro-Regular,5.5,#0D72B9
45,222.7671,392.4014,MyriadPro-Regular,5.5,#0D72B9
47,272.6938,361.7012,MyriadPro-Regular,5.5,#0D72B9
48,278.54,321.2393,MyriadPro-Regular,5.5,#0D72B9
49,235.8691,317.458,MyriadPro-Regular,5.5,#0D72B9
60,284.4199,307.6885,MyriadPro-Regular,5.5,#0D72B9
51,215.1748,272.0977,MyriadPro-Regular,5.5,#0D72B9
50,181.9268,324.6621,MyriadPro-Regular,5.5,#0D72B9
52,181.832,310.0176,MyriadPro-Regular,5.5,#0D72B9
53,161.9819,238.9873,MyriadPro-Regular,5.5,#0D72B9
54,215.832,262.0352,MyriadPro-Regular,5.5,#0D72B9
56,239.772,149.7988,MyriadPro-Regular,5.5,#0D72B9
57,182.3882,171.5898,MyriadPro-Regular,5.5,#0D72B9
58,160.0122,110.5918,MyriadPro-Regular,5.5,#0D72B9
59,233.6968,110.5918,MyriadPro-Regular,5.5,#0D72B9
61,297.2148,313.1992,MyriadPro-Regular,5.5,#0D72B9
62,269.3184,285.6221,MyriadPro-Regular,5.5,#0D72B9
63,271.876,238.0225,MyriadPro-Regular,5.5,#0D72B9
64,313.7256,266.293,MyriadPro-Regular,5.5,#0D72B9
65,306.3677,230.2842,MyriadPro-Regular,5.5,#0D72B9
66,314.0566,211.6533,MyriadPro-Regular,5.5,#0D72B9
67,344.9766,234.1992,MyriadPro-Regular,5.5,#0D72B9
68,371.5459,194.8193,MyriadPro-Regular,5.5,#0D72B9
69,385.8086,215.3438,MyriadPro-Regular,5.5,#0D72B9
71,344.9766,315.4482,MyriadPro-Regular,5.5,#0D72B9
72,354.957,348.3359,MyriadPro-Regular,5.5,#0D72B9
73,377.1035,338.377,MyriadPro-Regular,5.5,#0D72B9
74,403.9922,254.1182,MyriadPro-Regular,5.5,#0D72B9
75,404.6172,198.3203,MyriadPro-Regular,5.5,#0D72B9
76,403.9922,138.8633,MyriadPro-Regular,5.5,#0D72B9
77,432.8965,94.9673,MyriadPro-Regular,5.5,#0D72B9
78,433.3379,75.6846,MyriadPro-Regular,5.5,#0D72B9
79,447.1436,149.3662,MyriadPro-Regular,5.5,#0D72B9
80,434.0508,202.916,MyriadPro-Regular,5.5,#0D72B9
81,457.0859,188.8438,MyriadPro-Regular,5.5,#0D72B9
82,471.624,229.7402,MyriadPro-Regular,5.5,#0D72B9
83,508.2256,212.6553,MyriadPro-Regular,5.5,#0D72B9
84,510.6523,162.0459,MyriadPro-Regular,5.5,#0D72B9
85,524.4766,181.0146,MyriadPro-Regular,5.5,#0D72B9
86,528.084,242.1182,MyriadPro-Regular,5.5,#0D72B9
87,502.0703,259.3213,MyriadPro-Regular,5.5,#0D72B9
88,442.6387,264.7725,MyriadPro-Regular,5.5,#0D72B9
89,493.1094,295.876,MyriadPro-Regular,5.5,#0D72B9
90,472.7012,339.2627,MyriadPro-Regular,5.5,#0D72B9
91,512.5586,349.332,MyriadPro-Regular,5.5,#0D72B9
92,473.5684,383.2871,MyriadPro-Regular,5.5,#0D72B9
93,419.084,377.0845,MyriadPro-Regular,5.5,#0D72B9
94,398.6484,390.1919,MyriadPro-Regular,5.5,#0D72B9
95,436.4053,380.0557,MyriadPro-Regular,5.5,#0D72B9
96,511.3867,390.6348,MyriadPro-Regular,5.5,#0D72B9
97,445.9092,468.29,MyriadPro-Regular,5.5,#0D72B9
98ES39,502.3906,423.2441,MyriadPro-Regular,5.5,#0D72B9
99,422.2041,444.167,MyriadPro-Regular,5.5,#0D72B9
100,430.9443,419.7725,MyriadPro-Regular,5.5,#0D72B9
101,438.6846,488.3721,MyriadPro-Regular,5.5,#0D72B9
25a,317,408.0342,MyriadPro-Regular,5.5,#0D72B9
55,258.0132,212.5762,MyriadPro-Regular,5.5,#0D72B9
70,371.2539,268.6943,MyriadPro-Regular,5.5,#0D72B9
49a,261.8491,293.3091,MyriadPro-Regular,5.5,#0D72B9
49b,227.2129,281.917,MyriadPro-Regular,5.5,#0D72B9
25ES7c,264.7412,477.1602,MyriadPro-Regular,5.5,#0D72B9
25ES7b,324.7715,584.1504,MyriadPro-Regular,5.5,#0D72B9
25ES7d,285.8101,535.3633,MyriadPro-Regular,5.5,#0D72B9
30,274.4771,724.5605,MyriadPro-Regular,5.5,#0D72B9
31ES9,212.1768,663.6738,MyriadPro-Regular,5.5,#0D72B9
38,171.2012,479.7148,MyriadPro-Regular,5.5,#0D72B9
38ES12,135.124,498.9932,MyriadPro-Regular,5.5,#0D72B9
52ES19,123.0381,245.5352,MyriadPro-Regular,5.5,#0D72B9
54ES20c,165.0181,228.4023,MyriadPro-Regular,5.5,#0D72B9
63ES27,296.6655,203.4629,MyriadPro-Regular,5.5,#0D72B9
98es39a,543.1699,378.54,MyriadPro-Regular,5.5,#0D72B9
98es39b,539.7793,523.8477,MyriadPro-Regular,5.5,#0D72B9
79ES31,484.7754,143.0225,MyriadPro-Regular,5.5,#0D72B9
79ES31b,538.7715,112.957,MyriadPro-Regular,5.5,#0D72B9
79ES31a,501.751,55.9077,MyriadPro-Regular,5.5,#0D72B9
25ES7e,271.0762,582.5225,MyriadPro-Regular,5.5,#0D72B9
38ES10,208.6318,512.2061,MyriadPro-Regular,5.5,#0D72B9
45ES15,161.9819,355.2339,MyriadPro-Regular,5.5,#0D72B9
54ES20a,177.375,201.334,MyriadPro-Regular,5.5,#0D72B9
54ES20b,211.0688,192.2363,MyriadPro-Regular,5.5,#0D72B9
63ES27a,309.4082,72.2852,MyriadPro-Regular,5.5,#0D72B9
63ES27b,322.2012,137.7441,MyriadPro-Regular,5.5,#0D72B9
18ES43,452.1768,722.9336,MyriadPro-Regular,5.5,#0D72B9
17,413.7148,693.873,MyriadPro-Regular,5.5,#0D72B9
101ES41,435.9863,536.5508,MyriadPro-Regular,5.5,#0D72B9
10ES4,553.9707,612.0352,MyriadPro-Regular,5.5,#0D72B9
9ES3,509.8594,564.0674,MyriadPro-Regular,5.5,#0D72B9
30ES9,247.834,744.3564,MyriadPro-Regular,5.5,#0D72B9
98,468.9316,422.5322,MyriadPro-Regular,5.5,#0D72B9
31,256.7778,675.5898,MyriadPro-Regular,5.5,#0D72B9
25ES7,326.9941,413.7646,MyriadPro-Regular,5.5,#0D72B9
28ES8,326.1855,657.0127,MyriadPro-Regular,5.5,#0D72B9
10,73.207,489.5742,MyriadPro-Regular,3.5,#7F141D
20,57.252,466.3438,MyriadPro-Regular,3.5,#7F141D
100,115.124,481.2656,MyriadPro-Regular,3.5,#7F141D
40,41.9951,415.7393,MyriadPro-Regular,3.5,#7F141D
60,76.585,456.4814,MyriadPro-Regular,3.5,#7F141D
80,117.2832,453.4365,MyriadPro-Regular,3.5,#7F141D
120,96.0049,514.1729,MyriadPro-Regular,3.5,#7F141D
2000,183.2822,149.3662,MyriadPro-Regular,3.5,#7F141D
100,446.8779,620.3418,MyriadPro-Regular,3.5,#7F141D
20,512.5928,616.6758,MyriadPro-Regular,3.5,#7F141D
10,542.0518,607.9873,MyriadPro-Regular,3.5,#7F141D
40,525.4727,654.8535,MyriadPro-Regular,3.5,#7F141D
60,492.7217,657.9785,MyriadPro-Regular,3.5,#7F141D
80,435.3467,661.3535,MyriadPro-Regular,3.5,#7F141D
180,434.8818,678.5439,MyriadPro-Regular,3.5,#7F141D
200,462.6797,693.6563,MyriadPro-Regular,3.5,#7F141D
220,495.6797,684.3232,MyriadPro-Regular,3.5,#7F141D
240,496.8457,733.6563,MyriadPro-Regular,3.5,#7F141D
260,446.877,716.3262,MyriadPro-Regular,3.5,#7F141D
280,399.5127,665.6572,MyriadPro-Regular,3.5,#7F141D
300,350.5957,675.2402,MyriadPro-Regular,3.5,#7F141D
320,379.8457,626.7402,MyriadPro-Regular,3.5,#7F141D
340,410.5957,622.9072,MyriadPro-Regular,3.5,#7F141D
360,399.7637,598.0752,MyriadPro-Regular,3.5,#7F141D
