X1,Y1,X2,Y2,Fill,Stroke,StrokeWidth,StrokeLineJoin,StrokeMiterLimit
"real(8,3)","real(8,3)","real(8,3)","real(8,3)",char(7),char(7),"real(6,3)",char(5),"real(6,3)"
295.914,382.236,296.998,380.219,,#211E1F,0.25,round,10
274.914,355.487,274.874,353.197,,#211E1F,0.25,round,10
225.714,507.683,227.903,507.009,,#211E1F,0.25,round,10
252.585,172.749,252.545,170.458,,#211E1F,0.25,round,10
244.859,387.066,243.396,385.305,,#211E1F,0.25,round,10
218.269,415.318,212.81,415.318,,#211E1F,0.25,round,10
226.802,440.943,224.674,440.978,,#211E1F,0.25,round,10
239.516,445.732,239.527,447.917,,#211E1F,0.25,round,10
265.312,434.319,267.05,435.54,,#211E1F,0.25,round,10
271.309,451.699,271.319,453.884,,#211E1F,0.25,round,10
237.981,471.165,235.853,471.199,,#211E1F,0.25,round,10
224.451,551.032,222.323,551.066,,#211E1F,0.25,round,10
225.863,585.678,223.735,585.712,,#211E1F,0.25,round,10
234.727,592.755,233.718,590.881,,#211E1F,0.25,round,10
231.971,608.104,231.171,610.077,,#211E1F,0.25,round,10
263.276,612.554,262.625,614.58,,#211E1F,0.25,round,10
295.254,630.932,294.259,629.05,,#211E1F,0.25,round,10
256.178,638.771,256.102,636.645,,#211E1F,0.25,round,10
234.313,641.663,232.393,640.743,,#211E1F,0.25,round,10
229.61,674.48,227.482,674.515,,#211E1F,0.25,round,10
212.721,711.716,213.796,709.879,,#211E1F,0.25,round,10
205.988,670.988,203.86,671.022,,#211E1F,0.25,round,10
188.383,666.277,187.601,664.298,,#211E1F,0.25,round,10
164.45,690.619,163.733,688.615,,#211E1F,0.25,round,10
132.762,679.323,132.704,677.195,,#211E1F,0.25,round,10
91.661,679.177,91.603,677.049,,#211E1F,0.25,round,10
55.526,666.864,53.857,665.543,,#211E1F,0.25,round,10
95.321,662.682,94.29,660.819,,#211E1F,0.25,round,10
125.345,662.358,125.287,660.23,,#211E1F,0.25,round,10
150.781,642.893,149.75,641.03,,#211E1F,0.25,round,10
178.284,652.231,177.502,650.252,,#211E1F,0.25,round,10
203.347,640.715,201.192,638.215,,#211E1F,0.25,round,10
177.193,632.724,177.134,630.596,,#211E1F,0.25,round,10
173.131,616.095,173.073,613.967,,#211E1F,0.25,round,10
207.562,603.098,205.434,603.132,,#211E1F,0.25,round,10
