X1,Y1,X2,Y2,Fill,Stroke,StrokeWidth,StrokeLineJoin,StrokeMiterLimit
"real(8,3)","real(8,3)","real(8,3)","real(8,3)",char(7),char(7),"real(6,3)",char(5),"real(6,3)"
300.913,227.702,300.102,221.212,,#231F20,0.25,round,10
157.049,229.477,155.021,230.694,,#231F20,0.25,round,10
302.573,249.764,300.196,247.792,,#231F20,0.25,round,10
310.613,232.312,311.954,229.81,,#231F20,0.25,round,10
312.481,209.587,309.33,209.587,,#231F20,0.25,round,10
297.259,178.606,294.623,178.606,,#231F20,0.25,round,10
322.269,173.563,322.269,170.72,,#231F20,0.25,round,10
342.82,177.047,342.82,173.803,,#231F20,0.25,round,10
374.034,176.993,374.034,179.641,,#231F20,0.25,round,10
394.737,156.519,394.615,153.752,,#231F20,0.25,round,10
400.206,121.971,397.569,121.971,,#231F20,0.25,round,10
413.43,106,413.43,109.244,,#231F20,0.25,round,10
409.465,89.483,409.465,92.363,,#231F20,0.25,round,10
390.093,76.055,386.937,78.119,,#231F20,0.25,round,10
358.396,56.697,358.396,53.047,,#231F20,0.25,round,10
328.406,56.697,328.228,59.537,,#231F20,0.25,round,10
325.938,74.814,325.938,77.747,,#231F20,0.25,round,10
377.973,90.215,376.245,92.961,,#231F20,0.25,round,10
365.099,93.094,365.168,95.686,,#231F20,0.25,round,10
368.164,114.125,368.164,110.642,,#231F20,0.25,round,10
376.292,148.259,378.365,150.331,,#231F20,0.25,round,10
349.135,153.926,349.184,157.325,,#231F20,0.25,round,10
315.66,154.309,315.66,157.473,,#231F20,0.25,round,10
297.604,142.836,294.968,142.836,,#231F20,0.25,round,10
276.97,133.232,280.316,133.232,,#231F20,0.25,round,10
273.95,153.188,273.95,157.163,,#231F20,0.25,round,10
245.14,153.584,245.1,157.791,,#231F20,0.25,round,10
248.271,175.656,248.271,172.411,,#231F20,0.25,round,10
274.324,174.144,276.794,169.69,,#231F20,0.25,round,10
266.968,189.595,269.296,190.629,,#231F20,0.25,round,10
242.399,192.698,242.399,195.634,,#231F20,0.25,round,10
256.202,212.792,253.789,210.358,,#231F20,0.25,round,10
270.54,220.377,272.649,218.269,,#231F20,0.25,round,10
263.695,248.026,266.566,247.312,,#231F20,0.25,round,10
250.817,265.45,252.504,267.96,,#231F20,0.25,round,10
232.228,285.867,232.228,290.017,,#231F20,0.25,round,10
214.573,264.316,213.279,265.975,,#231F20,0.25,round,10
205.84,237.511,203.544,237.511,,#231F20,0.25,round,10
216.766,211.73,214.385,209.584,,#231F20,0.25,round,10
207.666,193.571,207.649,197.343,,#231F20,0.25,round,10
186.22,230.223,187.834,227.425,,#231F20,0.25,round,10
188.458,255.648,191.095,255.648,,#231F20,0.25,round,10
167.06,265.248,164.419,266.481,,#231F20,0.25,round,10
171.161,243.666,171.161,239.448,,#231F20,0.25,round,10
167.104,221.883,167.104,226.726,,#231F20,0.25,round,10
168.427,203.19,166.809,201.625,,#231F20,0.25,round,10
193.449,193.558,193.449,190.435,,#231F20,0.25,round,10
216.118,161.525,212.958,161.525,,#231F20,0.25,round,10
201.542,132.749,198.906,132.749,,#231F20,0.25,round,10
205.834,98.669,203.198,98.669,,#231F20,0.25,round,10
208.527,77.267,208.527,74.468,,#231F20,0.25,round,10
210.29,56.584,208.521,59.018,,#231F20,0.25,round,10
180.809,59.018,180.809,61.958,,#231F20,0.25,round,10
143.864,64.934,147.478,64.934,,#231F20,0.25,round,10
171.89,79.07,173.95,76.616,,#231F20,0.25,round,10
183.081,86.4,184.569,89.746,,#231F20,0.25,round,10
181.567,114.687,184.678,114.687,,#231F20,0.25,round,10
182.953,143.183,187.342,145.519,,#231F20,0.25,round,10
165.434,173.062,168.272,173.062,,#231F20,0.25,round,10
156.05,186.341,156.05,190.844,,#231F20,0.25,round,10
142.74,210.81,145.376,210.81,,#231F20,0.25,round,10
136.305,231.285,138.146,234.749,,#231F20,0.25,round,10
111.41,227.796,114.562,227.796,,#231F20,0.25,round,10
105.445,248.938,105.445,252.184,,#231F20,0.25,round,10
70.62,250.318,71.877,252.05,,#231F20,0.25,round,10
95.694,267.691,95.694,265.258,,#231F20,0.25,round,10
110.989,284.019,114.752,283.353,,#231F20,0.25,round,10
98.876,309.169,101.716,310.386,,#231F20,0.25,round,10
84.871,336.267,87.26,337.565,,#231F20,0.25,round,10
72.104,367.395,74.132,367.395,,#231F20,0.25,round,10
70.492,401.908,72.115,401.908,,#231F20,0.25,round,10
71.68,433.782,73.984,433.786,,#231F20,0.25,round,10
87.574,412.361,90.008,412.361,,#231F20,0.25,round,10
91.239,377.665,88.01,377.657,,#231F20,0.25,round,10
97.283,353.949,95.268,352.695,,#231F20,0.25,round,10
112.82,322.551,110.549,321.443,,#231F20,0.25,round,10
125.397,293.93,123.073,292.798,,#231F20,0.25,round,10
133.629,307.068,136.439,307.068,,#231F20,0.25,round,10
153.799,288.573,152.006,286.359,,#231F20,0.25,round,10
171.262,289.924,173.801,289.924,,#231F20,0.25,round,10
152.903,309.548,156.229,307.994,,#231F20,0.25,round,10
127.515,319.777,129.701,321.339,,#231F20,0.25,round,10
127.979,353.548,127.979,350.685,,#231F20,0.25,round,10
