X1,Y1,X2,Y2,Fill,Stroke,StrokeWidth,StrokeLineJoin,StrokeMiterLimit
"real(8,3)","real(8,3)","real(8,3)","real(8,3)",char(7),char(7),"real(6,3)",char(5),"real(6,3)"
331.035,300.041,328.832,297.837,,#231F20,0.25,round,10
384.188,265.832,382.184,268.221,,#231F20,0.25,round,10
294.401,368.086,294.448,364.968,,#231F20,0.25,round,10
367.9,328.418,365.248,326.771,,#231F20,0.25,round,10
275.329,369.986,276.295,372.954,,#231F20,0.25,round,10
259.041,366.181,261.245,368.384,,#231F20,0.25,round,10
239.812,366.144,238.486,363.324,,#231F20,0.25,round,10
231.319,394.861,233.523,397.062,,#231F20,0.25,round,10
215.589,390.424,213.38,388.218,,#231F20,0.25,round,10
209.617,426.977,206.433,430.885,,#231F20,0.25,round,10
229.038,448.959,230.319,446.152,,#231F20,0.25,round,10
254.402,437.178,251.355,436.512,,#231F20,0.25,round,10
282.546,436.992,282.546,440.111,,#231F20,0.25,round,10
280.681,421.093,280.681,417.974,,#231F20,0.25,round,10
260.917,455.629,263.195,457.76,,#231F20,0.25,round,10
234.137,481.203,236.644,483.059,,#231F20,0.25,round,10
208.857,560.962,205.738,560.962,,#231F20,0.25,round,10
223.229,592.131,226.348,592.131,,#231F20,0.25,round,10
252.472,599.913,252.472,596.796,,#231F20,0.25,round,10
258.692,620.38,261.538,622.743,,#231F20,0.25,round,10
230.302,621.616,234.151,622.114,,#231F20,0.25,round,10
196.028,616.229,196.028,619.349,,#231F20,0.25,round,10
207.749,602.649,206.268,599.904,,#231F20,0.25,round,10
188.953,551.891,192.305,551.771,,#231F20,0.25,round,10
161.485,555.237,159.276,553.028,,#231F20,0.25,round,10
162.199,576.858,164.766,578.626,,#231F20,0.25,round,10
179.484,525.67,177.058,525.611,,#231F20,0.25,round,10
203.647,511.183,200.611,513.407,,#231F20,0.25,round,10
204.379,497.671,204.379,494.554,,#231F20,0.25,round,10
172.944,504.195,170.253,502.32,,#231F20,0.25,round,10
187.55,488.88,189.457,489.94,,#231F20,0.25,round,10
168.967,479.355,167.419,476.648,,#231F20,0.25,round,10
199.586,453.431,198.037,449.784,,#231F20,0.25,round,10
191.381,465.391,190.158,468.26,,#231F20,0.25,round,10
186.029,415.855,186.029,418.973,,#231F20,0.25,round,10
182.314,401.781,182.314,398.664,,#231F20,0.25,round,10
150.827,415.383,149.564,418.236,,#231F20,0.25,round,10
197.334,387.993,199.36,389.623,,#231F20,0.25,round,10
161.439,385.406,161.387,388.26,,#231F20,0.25,round,10
187.475,365.122,187.475,362.522,,#231F20,0.25,round,10
195.75,362.322,194.93,363.315,,#231F20,0.25,round,10
197.064,343.059,199.269,340.855,,#231F20,0.25,round,10
146.298,312.71,144.088,314.919,,#231F20,0.25,round,10
143.734,298.404,146.371,300.953,,#231F20,0.25,round,10
175.009,319.429,176.23,316.562,,#231F20,0.25,round,10
217.886,341.065,216.971,338.989,,#231F20,0.25,round,10
234.936,343.935,238.053,343.935,,#231F20,0.25,round,10
266.915,339.274,264.959,337.48,,#231F20,0.25,round,10
294.98,605.001,290.953,606.483,,#231F20,0.25,round,10
230.478,561.844,226.377,560.08,,#231F20,0.25,round,10
231.577,521.287,228.228,520.143,,#231F20,0.25,round,10
208.053,646.552,204.704,649.067,,#231F20,0.25,round,10
228.896,419.926,225.778,419.926,,#231F20,0.25,round,10
244.044,307.678,240.926,307.678,,#231F20,0.25,round,10
217.164,306.738,213.689,305.168,,#231F20,0.25,round,10
169.879,336.065,167.675,338.27,,#231F20,0.25,round,10
222.664,373.16,222.657,370.642,,#231F20,0.25,round,10
