X1,Y1,X2,Y2,Fill,Stroke,StrokeWidth,StrokeLineJoin,StrokeMiterLimit
"real(8,3)'","real(8,3)'","real(8,3)'","real(8,3)'",char(7),char(7),"real(6,3)'",char(5),"real(6,3)'"
185.25,243.184,183.292,241.854,,#231F20,0.25,round,10
313.57,254.266,311.193,252.294,,#231F20,0.25,round,10
356.227,174.155,353.305,174.155,,#231F20,0.25,round,10
345.094,199.912,345.094,197.038,,#231F20,0.25,round,10
378.015,139.008,375.378,139.008,,#231F20,0.25,round,10
337.207,142.147,334.435,143.672,,#231F20,0.25,round,10
356.776,134.509,359.905,135.691,,#231F20,0.25,round,10
307.226,183.681,307.226,186.737,,#231F20,0.25,round,10
289.536,178.613,292.819,177.008,,#231F20,0.25,round,10
273.426,182.338,273.426,187.127,,#231F20,0.25,round,10
276.891,201.892,273.505,201.364,,#231F20,0.25,round,10
288.31,223.326,291.824,219.322,,#231F20,0.25,round,10
289.042,240.272,292.367,239.163,,#231F20,0.25,round,10
277.282,238.816,279.276,238.816,,#231F20,0.25,round,10
275.374,264.199,275.374,268.349,,#231F20,0.25,round,10
231.155,219.012,230.867,214.528,,#231F20,0.25,round,10
253.544,183.184,253.528,186.956,,#231F20,0.25,round,10
217.962,234.847,215.8,232.445,,#231F20,0.25,round,10
213.012,256.687,215.648,256.687,,#231F20,0.25,round,10
166.382,235.268,164.31,237.319,,#231F20,0.25,round,10
212.504,216.818,213.883,219.445,,#231F20,0.25,round,10
189.781,205.067,188.163,203.501,,#231F20,0.25,round,10
276.96,161.082,279.476,162.42,,#231F20,0.25,round,10
165.815,162.471,168.654,162.471,,#231F20,0.25,round,10
184.974,173.646,183.074,176.672,,#231F20,0.25,round,10
149.709,249.645,152.552,252.349,,#231F20,0.25,round,10
135.931,243.66,135.931,246.905,,#231F20,0.25,round,10
154.556,211.366,156.994,215.526,,#231F20,0.25,round,10
129.649,269.579,132.86,271.654,,#231F20,0.25,round,10
139.347,296.627,142.418,296.303,,#231F20,0.25,round,10
129.338,370.618,126.109,370.61,,#231F20,0.25,round,10
180.71,282.497,178.386,281.365,,#231F20,0.25,round,10
168.204,312.614,178.553,309.569,,#231F20,0.25,round,10
176.131,305.614,178.317,307.176,,#231F20,0.25,round,10
164.807,335.901,164.807,333.038,,#231F20,0.25,round,10
194.909,364.807,193.473,366.4,,#231F20,0.25,round,10
203.34,324.315,200.705,324.315,,#231F20,0.25,round,10
190.618,313.896,188.284,311.755,,#231F20,0.25,round,10
227.12,296.812,227.12,293.717,,#231F20,0.25,round,10
217.974,335.024,220.341,333.458,,#231F20,0.25,round,10
236.7,333.521,237.998,335.962,,#231F20,0.25,round,10
194.794,349.365,194.794,346.932,,#231F20,0.25,round,10
245.736,327.767,242.065,327.767,,#231F20,0.25,round,10
215.639,311.536,213.002,311.536,,#231F20,0.25,round,10
277.81,354.241,280.715,353.446,,#231F20,0.25,round,10
259.232,349.983,261.548,351.817,,#231F20,0.25,round,10
248.055,389.5,248.055,392.745,,#231F20,0.25,round,10
353.82,457.08,356.389,456.84,,#231F20,0.25,round,10
333.141,450.031,335.263,450.66,,#231F20,0.25,round,10
319.137,478.409,320.087,475.54,,#231F20,0.25,round,10
351.03,480.771,351.03,476.815,,#231F20,0.25,round,10
402.688,466.079,402.688,462.835,,#231F20,0.25,round,10
354.346,440.75,357.388,441.879,,#231F20,0.25,round,10
418.063,491.227,418.063,493.66,,#231F20,0.25,round,10
383.264,448.328,380.786,445.529,,#231F20,0.25,round,10
432.257,477.079,433.884,479.513,,#231F20,0.25,round,10
426.555,435.864,425.797,432.663,,#231F20,0.25,round,10
401.796,431.77,401.796,428.525,,#231F20,0.25,round,10
413.048,417.11,412.634,419.509,,#231F20,0.25,round,10
413.653,454.135,416.897,454.135,,#231F20,0.25,round,10
398.198,404.533,395.148,406.225,,#231F20,0.25,round,10
400.933,382.698,397.664,382.714,,#231F20,0.25,round,10
342.791,333.526,340.495,334.597,,#231F20,0.25,round,10
342.36,353.633,339.432,353.633,,#231F20,0.25,round,10
326.858,346.338,329.495,346.338,,#231F20,0.25,round,10
318.608,407.351,320.615,409.899,,#231F20,0.25,round,10
297.51,402.34,295.007,403.68,,#231F20,0.25,round,10
292.736,371.11,290.1,371.11,,#231F20,0.25,round,10
521.113,119.702,523.547,119.702,,#231F20,0.25,round,10
538.083,124.477,540.739,125.28,,#231F20,0.25,round,10
609.855,232.124,607.433,235.901,,#231F20,0.25,round,10
587.008,377.456,589.737,377.456,,#231F20,0.25,round,10
492.915,255.048,495.755,253.832,,#231F20,0.25,round,10
496.519,231.128,499.968,231.128,,#231F20,0.25,round,10
