X1,Y1,X2,Y2,Fill,Stroke,StrokeWidth,StrokeLineJoin,StrokeMiterLimit
"real(8,3)","real(8,3)","real(8,3)","real(8,3)",char(7),char(7),"real(6,3)",char(5),"real(6,3)"
296.032,382.184,297.116,380.167,,#231F20,0.25,round,10
274.872,355.699,274.321,353.475,,#231F20,0.25,round,10
247.315,381.4,245.776,379.704,,#231F20,0.25,round,10
218.985,411.168,216.7,411.311,,#231F20,0.25,round,10
224.671,435.25,222.519,436.031,,#231F20,0.25,round,10
235.714,443.549,234.736,441.479,,#231F20,0.25,round,10
265.645,430.146,264.105,428.451,,#231F20,0.25,round,10
275.618,447.484,274.64,445.412,,#231F20,0.25,round,10
238.948,464.649,236.792,463.874,,#231F20,0.25,round,10
227.117,498.9,225.081,499.947,,#231F20,0.25,round,10
227.117,538.277,225.081,539.324,,#231F20,0.25,round,10
228.809,572.688,226.519,572.674,,#231F20,0.25,round,10
239.032,583.586,238.697,581.32,,#231F20,0.25,round,10
232.864,605.055,231.707,606.492,,#231F20,0.25,round,10
266.364,603.145,266.346,605.434,,#231F20,0.25,round,10
282.609,620.453,282.591,622.742,,#231F20,0.25,round,10
244.05,625.072,242.638,626.875,,#231F20,0.25,round,10
259.384,671.174,257.775,672.803,,#231F20,0.25,round,10
233.244,670.729,231.635,672.357,,#231F20,0.25,round,10
200.386,669.348,198.75,667.744,,#231F20,0.25,round,10
177.735,696.391,178.195,698.633,,#231F20,0.25,round,10
146.598,723.914,144.962,722.311,,#231F20,0.25,round,10
147.59,694.508,146.847,692.34,,#231F20,0.25,round,10
171.313,664.141,170.571,661.973,,#231F20,0.25,round,10
240.466,642.632,238.176,642.618,,#231F20,0.25,round,10
191.461,642.068,189.171,642.053,,#231F20,0.25,round,10
190.707,620.619,190.689,623.299,,#231F20,0.25,round,10
169.393,602.357,169.761,604.619,,#231F20,0.25,round,10
199.542,597.848,201.645,598.758,,#231F20,0.25,round,10
207.562,556.738,205.271,556.725,,#231F20,0.25,round,10
202.594,532.824,203.262,543.801,,#231F20,0.25,round,10
182.292,560.043,183.93,561.645,,#231F20,0.25,round,10
143.428,557.988,143.41,560.67,,#231F20,0.25,round,10
151.1,540.619,151.082,543.301,,#231F20,0.25,round,10
174.401,531.574,172.111,531.545,,#231F20,0.25,round,10
171.05,518.486,169.439,520.115,,#231F20,0.25,round,10
212.142,515.24,209.312,514.361,,#231F20,0.25,round,10
198.092,497.096,196.482,498.725,,#231F20,0.25,round,10
196.501,489.898,194.688,488.498,,#231F20,0.25,round,10
161.92,487.529,159.75,486.793,,#231F20,0.25,round,10
192.307,469.607,190.022,469.754,,#231F20,0.25,round,10
192.973,448.68,191.956,450.732,,#231F20,0.25,round,10
207.454,432.289,205.164,432.273,,#231F20,0.25,round,10
191.174,420.68,191.174,422.744,,#231F20,0.25,round,10
158.653,417.365,158.653,419.43,,#231F20,0.25,round,10
175.77,398.664,175.77,400.727,,#231F20,0.25,round,10
210.737,393.904,209.149,392.254,,#231F20,0.25,round,10
200.594,388.039,200.594,390.104,,#231F20,0.25,round,10
163.34,387.43,163.34,389.494,,#231F20,0.25,round,10
172.47,370.445,170.882,368.793,,#231F20,0.25,round,10
201.969,371.665,191.532,367.374,,#231F20,0.25,round,10
177.559,343.913,175.919,345.511,,#231F20,0.25,round,10
185.189,327.542,183.551,329.141,,#231F20,0.25,round,10
209.621,354.208,207.981,355.807,,#231F20,0.25,round,10
219.459,355.851,217.169,355.836,,#231F20,0.25,round,10
215.895,335.229,213.604,335.215,,#231F20,0.25,round,10
220.294,282.492,218.921,279.331,,#231F20,0.25,round,10
236.676,313.363,235.086,311.711,,#231F20,0.25,round,10
236.661,362.189,234.418,362.648,,#231F20,0.25,round,10
