X1,Y1,X2,Y2,Fill,Stroke,StrokeWidth,StrokeLineJoin,StrokeMiterLimit
'real(8,3)','real(8,3)','real(8,3)','real(8,3)',char(7),char(7),'real(6,3)',char(5),'real(6,3)'
325.961,290.297,323.758,288.094,,#231F20,0.25,round,10
370.812,244.805,368.807,247.195,,#231F20,0.25,round,10
281.956,357.529,281.035,354.55,,#231F20,0.25,round,10
353.404,301.66,350.753,300.013,,#231F20,0.25,round,10
269.812,376.03,270.778,378.998,,#231F20,0.25,round,10
248.27,374.929,250.474,377.132,,#231F20,0.25,round,10
229.515,374.546,228.189,371.726,,#231F20,0.25,round,10
221.022,403.263,223.226,405.465,,#231F20,0.25,round,10
205.292,398.825,203.083,396.62,,#231F20,0.25,round,10
199.32,434.164,196.136,438.071,,#231F20,0.25,round,10
218.267,457.707,219.549,454.899,,#231F20,0.25,round,10
245.757,444.449,244.198,441.747,,#231F20,0.25,round,10
276.48,443.644,276.48,446.763,,#231F20,0.25,round,10
275.039,427.802,275.039,424.683,,#231F20,0.25,round,10
250.385,459.134,252.662,461.266,,#231F20,0.25,round,10
223.61,489.022,226.115,490.878,,#231F20,0.25,round,10
198.122,568.828,195.003,568.828,,#231F20,0.25,round,10
212.817,599.82,215.936,599.82,,#231F20,0.25,round,10
241.377,603.114,241.377,599.997,,#231F20,0.25,round,10
247.404,627.996,250.25,630.359,,#231F20,0.25,round,10
220.783,628.929,224.633,629.427,,#231F20,0.25,round,10
185.713,624.01,185.713,627.129,,#231F20,0.25,round,10
195.456,606.812,193.975,604.066,,#231F20,0.25,round,10
178.39,559.228,181.742,559.108,,#231F20,0.25,round,10
150.417,563.291,148.208,561.082,,#231F20,0.25,round,10
151.428,585.253,153.995,587.021,,#231F20,0.25,round,10
167.747,533.39,165.321,533.332,,#231F20,0.25,round,10
193.212,518.818,190.176,521.043,,#231F20,0.25,round,10
194.541,505.403,194.541,502.286,,#231F20,0.25,round,10
162.135,512.109,159.444,510.233,,#231F20,0.25,round,10
177.12,496.807,179.027,497.867,,#231F20,0.25,round,10
158.047,487.025,156.499,484.318,,#231F20,0.25,round,10
188.782,461.615,187.233,457.968,,#231F20,0.25,round,10
180.853,472.715,179.63,475.584,,#231F20,0.25,round,10
175.295,424.258,175.295,427.375,,#231F20,0.25,round,10
171.48,410.243,171.48,407.126,,#231F20,0.25,round,10
140.53,423.785,139.267,426.639,,#231F20,0.25,round,10
187.037,396.395,189.063,398.025,,#231F20,0.25,round,10
151.142,393.808,151.09,396.662,,#231F20,0.25,round,10
177.178,373.523,177.178,370.924,,#231F20,0.25,round,10
186.65,370.228,185.829,371.221,,#231F20,0.25,round,10
186.937,350.46,189.141,348.257,,#231F20,0.25,round,10
134.785,321.242,132.575,323.451,,#231F20,0.25,round,10
130.32,308.039,132.957,310.588,,#231F20,0.25,round,10
168.359,322.614,170.562,320.411,,#231F20,0.25,round,10
207.392,349.706,206.477,347.63,,#231F20,0.25,round,10
223.304,352.343,226.422,352.343,,#231F20,0.25,round,10
243.78,337.859,241.801,337.775,,#231F20,0.25,round,10
284.896,612.658,280.869,614.14,,#231F20,0.25,round,10
219.864,569.711,215.763,567.946,,#231F20,0.25,round,10
221.117,528.33,217.768,527.186,,#231F20,0.25,round,10
197.692,653.16,194.342,655.675,,#231F20,0.25,round,10
218.427,428.025,215.309,428.025,,#231F20,0.25,round,10
234.123,316.409,231.005,316.409,,#231F20,0.25,round,10
207.242,315.47,203.768,313.899,,#231F20,0.25,round,10
158.89,343.473,156.686,345.677,,#231F20,0.25,round,10
211.53,381.54,211.523,379.022,,#231F20,0.25,round,10
199.2,531.854,201.23,530.328,,#231F20,0.25,round,10
