X1,Y1,X2,Y2,Fill,Stroke,StrokeWidth,StrokeLineJoin,StrokeMiterLimit
"real(8,3)","real(8,3)","real(8,3)","real(8,3)",char(7),char(7),"real(6,3)",char(5),"real(6,3)"
564.1,424.7,567.6,424.7,,#211E1F,0.25,round,10
537.5,373.6,539.9,376.2,,#211E1F,0.25,round,10
562.3,350.7,565.8,350.7,,#211E1F,0.25,round,10
570.3,305.8,572.7,308.4,,#211E1F,0.25,round,10
586.4,350.7,583.5,355,,#211E1F,0.25,round,10
622.1,351.6,622,355.1,,#211E1F,0.25,round,10
587.7,389.5,587.5,393,,#211E1F,0.25,round,10
596.4,376.5,593.8,377.8,,#211E1F,0.25,round,10
547.6,391.7,550.1,394.3,,#211E1F,0.25,round,10
566.9,395.3,568.1,398.6,,#211E1F,0.25,round,10
617.4,372,617.3,375.6,,#211E1F,0.25,round,10
624.7,406.6,623.3,403.8,,#211E1F,0.25,round,10
662.4,415.4,664.9,413.9,,#211E1F,0.25,round,10
616.8,421.8,617.3,424.8,,#211E1F,0.25,round,10
688.8,782.4,866.2,782.4,,#211E1F,0.25,round,10
