LabelText,X,Y,Font,FontSize,Fill
varchar(500),"real(8,3)","real(8,3)",varchar(100),"real(6,3)",char(7)
V,717.501,214.4937,MyriadPro-Regular,24,#EE81B3
IV,576.9492,67.1479,MyriadPro-Regular,24,#E4E412
III,386.3511,76.5229,MyriadPro-Regular,24,#BE83B8
II,165.207,206.0352,MyriadPro-Regular,24,#4A8CCC
I,384.2739,529.8086,MyriadPro-Regular,24,#9082BD
VI,635.4883,438.0605,MyriadPro-Regular,24,#16953A
25a,305.8789,328.4688,MyriadPro-Regular,5.5,#0D72BA
10,464.8535,393.1738,MyriadPro-Regular,5.5,#0D72BA
100,552.4941,371.7227,MyriadPro-Regular,5.5,#0D72BA
101,541.0371,415.6846,MyriadPro-Regular,5.5,#0D72BA
11,482.1426,414.6475,MyriadPro-Regular,5.5,#0D72BA
12,429.0586,469.8926,MyriadPro-Regular,5.5,#0D72BA
13,428.2266,429.542,MyriadPro-Regular,5.5,#0D72BA
14,387.0518,461.9531,MyriadPro-Regular,5.5,#0D72BA
15,311.5952,505.5303,MyriadPro-Regular,5.5,#0D72BA
16,400.0215,494.7939,MyriadPro-Regular,5.5,#0D72BA
17,428.2266,504.8525,MyriadPro-Regular,5.5,#0D72BA
18,453.7012,505.5312,MyriadPro-Regular,5.5,#0D72BA
19,490.3516,474.7139,MyriadPro-Regular,5.5,#0D72BA
2,354.7432,373.0186,MyriadPro-Regular,5.5,#0D72BA
20,494.5742,511.4102,MyriadPro-Regular,5.5,#0D72BA
21,373.8979,499.1494,MyriadPro-Regular,5.5,#0D72BA
22,357.1079,461.9531,MyriadPro-Regular,5.5,#0D72BA
23,318.1479,432.3594,MyriadPro-Regular,5.5,#0D72BA
24,317.896,395.1582,MyriadPro-Regular,5.5,#0D72BA
25,314.2358,380.0654,MyriadPro-Regular,5.5,#0D72BA
25es7,271.3662,516.4307,MyriadPro-Regular,5.5,#0D72BA
25hs,297.981,457.5234,MyriadPro-Regular,5.5,#0D72BA
25hs1,245.5708,418.2217,MyriadPro-Regular,5.5,#0D72BA
25hs2,219.4971,405.3223,MyriadPro-Regular,5.5,#0D72BA
26,304.0571,299.8193,MyriadPro-Regular,5.5,#0D72BA
26\',316.002,282.3643,MyriadPro-Regular,5.5,#0D72BA
26\'\',549.6152,261.1924,MyriadPro-Regular,5.5,#0D72BA
27,276.1279,318.5264,MyriadPro-Regular,5.5,#0D72BA
28,287.3481,337.2275,MyriadPro-Regular,5.5,#0D72BA
29,276.228,372.1592,MyriadPro-Regular,5.5,#0D72BA
3,356.2988,402.7793,MyriadPro-Regular,5.5,#0D72BA
30,213.228,468.791,MyriadPro-Regular,5.5,#0D72BA
31,177.8042,420.0967,MyriadPro-Regular,5.5,#0D72BA
32,246.8652,317.7676,MyriadPro-Regular,5.5,#0D72BA
33,208.7432,351.3232,MyriadPro-Regular,5.5,#0D72BA
34,246.187,370.5283,MyriadPro-Regular,5.5,#0D72BA
35,192.439,378.3994,MyriadPro-Regular,5.5,#0D72BA
35a,191.0391,344.6787,MyriadPro-Regular,5.5,#0D72BA
36,255.8262,279.125,MyriadPro-Regular,5.5,#0D72BA
37,208.5532,303.5254,MyriadPro-Regular,5.5,#0D72BA
38,187.374,286.623,MyriadPro-Regular,5.5,#0D72BA
38a,123.73,376.1396,MyriadPro-Regular,5.5,#0D72BA
38es12,129.6191,313.5176,MyriadPro-Regular,5.5,#0D72BA
39,172.7451,251.1748,MyriadPro-Regular,5.5,#0D72BA
4,367.4102,409.7197,MyriadPro-Regular,5.5,#0D72BA
40,193.2988,223.0791,MyriadPro-Regular,5.5,#0D72BA
41,212.6211,216.9912,MyriadPro-Regular,5.5,#0D72BA
42,276.3872,135.4062,MyriadPro-Regular,5.5,#0D72BA
43,231.8618,78.5791,MyriadPro-Regular,5.5,#0D72BA
44,297.79,91.1387,MyriadPro-Regular,5.5,#0D72BA
45,244.8521,244.3311,MyriadPro-Regular,5.5,#0D72BA
46,280.2109,230.9844,MyriadPro-Regular,5.5,#0D72BA
47,315.6562,253.5244,MyriadPro-Regular,5.5,#0D72BA
48,359.3291,263.251,MyriadPro-Regular,5.5,#0D72BA
49,332.4849,240.7578,MyriadPro-Regular,5.5,#0D72BA
49a,368.0312,232.6768,MyriadPro-Regular,5.5,#0D72BA
49b,363.6592,204.1543,MyriadPro-Regular,5.5,#0D72BA
5,393.1143,390.6582,MyriadPro-Regular,5.5,#0D72BA
50,300.541,227.8193,MyriadPro-Regular,5.5,#0D72BA
51,343.666,205.0693,MyriadPro-Regular,5.5,#0D72BA
52,294.7988,169.4893,MyriadPro-Regular,5.5,#0D72BA
52es19,323.7622,142.543,MyriadPro-Regular,5.5,#0D72BA
53,355.7729,157.8477,MyriadPro-Regular,5.5,#0D72BA
54,374.812,170.001,MyriadPro-Regular,5.5,#0D72BA
54es20,380.9521,142.6797,MyriadPro-Regular,5.5,#0D72BA
55,408.3789,194.5879,MyriadPro-Regular,5.5,#0D72BA
56,441.3867,157.4961,MyriadPro-Regular,5.5,#0D72BA
57,390.519,125.1982,MyriadPro-Regular,5.5,#0D72BA
58,389.6831,92.0029,MyriadPro-Regular,5.5,#0D72BA
59,461.125,118.1172,MyriadPro-Regular,5.5,#0D72BA
6,375.8018,386.459,MyriadPro-Regular,5.5,#0D72BA
