LabelText,X,Y,Font,FontSize,Fill
varchar(500),"real(8,3)","real(8,3)",varchar(100),"real(6,3)",char(7)
I,384.2739,529.8086,MyriadPro-Regular,24,#A197C9
II,165.207,206.0352,MyriadPro-Regular,24,#5AA0D7
III,386.3511,76.5229,MyriadPro-Regular,24,#CB9AC6
IV,576.9492,67.1479,MyriadPro-Regular,24,#E9E612
V,717.501,214.4937,MyriadPro-Regular,24,#F499C1
VI,635.4883,438.0605,MyriadPro-Regular,24,#0BA34A
25a,305.8794,328.4688,MyriadPro-Regular,5.5,#0D71BA
10,464.8535,393.1738,MyriadPro-Regular,5.5,#0D71BA
100,552.4941,371.7227,MyriadPro-Regular,5.5,#0D71BA
101,541.0371,415.6855,MyriadPro-Regular,5.5,#0D71BA
11,482.1426,414.6465,MyriadPro-Regular,5.5,#0D71BA
12,429.0586,469.8926,MyriadPro-Regular,5.5,#0D71BA
13,428.2266,429.542,MyriadPro-Regular,5.5,#0D71BA
14,387.0522,461.9531,MyriadPro-Regular,5.5,#0D71BA
15,311.5947,505.5303,MyriadPro-Regular,5.5,#0D71BA
16,400.0225,494.7939,MyriadPro-Regular,5.5,#0D71BA
17,428.2266,504.8525,MyriadPro-Regular,5.5,#0D71BA
18,453.7012,505.5312,MyriadPro-Regular,5.5,#0D71BA
19,490.3516,474.7139,MyriadPro-Regular,5.5,#0D71BA
19a,498.959,487.6816,MyriadPro-Regular,5.5,#0D71BA
2,354.7432,373.0195,MyriadPro-Regular,5.5,#0D71BA
20,494.5742,511.4102,MyriadPro-Regular,5.5,#0D71BA
21,373.8984,499.1494,MyriadPro-Regular,5.5,#0D71BA
22,357.1084,461.9531,MyriadPro-Regular,5.5,#0D71BA
23,318.1479,432.3594,MyriadPro-Regular,5.5,#0D71BA
24,317.8955,395.1582,MyriadPro-Regular,5.5,#0D71BA
25,314.2363,380.0645,MyriadPro-Regular,5.5,#0D71BA
25es7,271.3657,516.4307,MyriadPro-Regular,5.5,#0D71BA
25hs,297.9814,457.5234,MyriadPro-Regular,5.5,#0D71BA
25hs1,245.5713,418.2217,MyriadPro-Regular,5.5,#0D71BA
25hs2,219.4971,405.3223,MyriadPro-Regular,5.5,#0D71BA
26,304.0566,299.8193,MyriadPro-Regular,5.5,#0D71BA
26a\",316.002,282.3638,MyriadPro-Regular,5.5,#0D71BA
26a\",549.6152,261.1924,MyriadPro-Regular,5.5,#0D71BA
27,276.1284,318.5264,MyriadPro-Regular,5.5,#0D71BA
28,287.3477,337.2275,MyriadPro-Regular,5.5,#0D71BA
29,276.228,372.1592,MyriadPro-Regular,5.5,#0D71BA
3,356.2988,402.7793,MyriadPro-Regular,5.5,#0D71BA
30,213.228,468.791,MyriadPro-Regular,5.5,#0D71BA
31,177.8037,420.0967,MyriadPro-Regular,5.5,#0D71BA
32,246.8647,317.7676,MyriadPro-Regular,5.5,#0D71BA
33,208.7427,351.3232,MyriadPro-Regular,5.5,#0D71BA
34,246.187,370.5283,MyriadPro-Regular,5.5,#0D71BA
35,192.439,378.3994,MyriadPro-Regular,5.5,#0D71BA
35a,191.0386,344.6787,MyriadPro-Regular,5.5,#0D71BA
36,255.8257,279.125,MyriadPro-Regular,5.5,#0D71BA
37,208.5527,303.5254,MyriadPro-Regular,5.5,#0D71BA
38,187.3735,286.623,MyriadPro-Regular,5.5,#0D71BA
38a,123.7295,376.1396,MyriadPro-Regular,5.5,#0D71BA
38es12,129.6187,313.5176,MyriadPro-Regular,5.5,#0D71BA
39,172.7451,251.1753,MyriadPro-Regular,5.5,#0D71BA
4,367.4097,409.7197,MyriadPro-Regular,5.5,#0D71BA
40,193.2993,223.0791,MyriadPro-Regular,5.5,#0D71BA
41,212.6211,216.9907,MyriadPro-Regular,5.5,#0D71BA
42,276.3872,135.4062,MyriadPro-Regular,5.5,#0D71BA
43,231.8618,78.5791,MyriadPro-Regular,5.5,#0D71BA
43a,260.8564,76.5234,MyriadPro-Regular,5.5,#0D71BA
44,297.7896,91.1387,MyriadPro-Regular,5.5,#0D71BA
45,244.8521,244.3311,MyriadPro-Regular,5.5,#0D71BA
46,280.2114,230.9844,MyriadPro-Regular,5.5,#0D71BA
47,315.6562,253.5244,MyriadPro-Regular,5.5,#0D71BA
48,359.3286,263.251,MyriadPro-Regular,5.5,#0D71BA
49,332.4854,240.7583,MyriadPro-Regular,5.5,#0D71BA
49a,368.0312,232.6768,MyriadPro-Regular,5.5,#0D71BA
49b,363.6592,204.1538,MyriadPro-Regular,5.5,#0D71BA
5,393.1138,390.6582,MyriadPro-Regular,5.5,#0D71BA
50,300.5405,227.8193,MyriadPro-Regular,5.5,#0D71BA
51,343.6655,205.0688,MyriadPro-Regular,5.5,#0D71BA
52,294.7993,169.4893,MyriadPro-Regular,5.5,#0D71BA
52es19,323.7622,142.543,MyriadPro-Regular,5.5,#0D71BA
53,355.7734,157.8477,MyriadPro-Regular,5.5,#0D71BA
54,374.812,170.001,MyriadPro-Regular,5.5,#0D71BA
54es20,380.9521,142.6802,MyriadPro-Regular,5.5,#0D71BA
55,408.3789,194.5879,MyriadPro-Regular,5.5,#0D71BA
55a,442.3477,198.4453,MyriadPro-Regular,5.5,#0D71BA
56,441.3867,157.4956,MyriadPro-Regular,5.5,#0D71BA
57,390.519,125.1978,MyriadPro-Regular,5.5,#0D71BA
58,389.6831,92.0029,MyriadPro-Regular,5.5,#0D71BA
59,461.125,118.1172,MyriadPro-Regular,5.5,#0D71BA
6,375.8022,386.459,MyriadPro-Regular,5.5,#0D71BA
60,377.2817,245.7266,MyriadPro-Regular,5.5,#0D71BA
61,542.2559,238.1885,MyriadPro-Regular,5.5,#0D71BA
62,479.873,221.7769,MyriadPro-Regular,5.5,#0D71BA
63,481.3984,188.9224,MyriadPro-Regular,5.5,#0D71BA
63a,508.1309,197.126,MyriadPro-Regular,5.5,#0D71BA
63es27,532.3848,67.1484,MyriadPro-Regular,5.5,#0D71BA
63es38,521.6582,108.8955,MyriadPro-Regular,5.5,#0D71BA
64,541.3184,194.9297,MyriadPro-Regular,5.5,#0D71BA
65,510.166,162.1318,MyriadPro-Regular,5.5,#0D71BA
66,519.3613,147.2417,MyriadPro-Regular,5.5,#0D71BA
67,558.1484,174.3867,MyriadPro-Regular,5.5,#0D71BA
68,571.8145,133.0762,MyriadPro-Regular,5.5,#0D71BA
69,583.0684,165.9609,MyriadPro-Regular,5.5,#0D71BA
7,380.1099,364.0391,MyriadPro-Regular,5.5,#0D71BA
70,574.7207,186.1494,MyriadPro-Regular,5.5,#0D71BA
71,575.2969,230.8149,MyriadPro-Regular,5.5,#0D71BA
72,590.1641,270.7969,MyriadPro-Regular,5.5,#0D71BA
73,597.1348,317.2568,MyriadPro-Regular,5.5,#0D71BA
74,603.3418,256.3789,MyriadPro-Regular,5.5,#0D71BA
75,601.1055,217.2041,MyriadPro-Regular,5.5,#0D71BA
76,603.8145,157.0518,MyriadPro-Regular,5.5,#0D71BA
77,630.0586,108.667,MyriadPro-Regular,5.5,#0D71BA
78,650.0254,107.0225,MyriadPro-Regular,5.5,#0D71BA
79,645.6562,188.373,MyriadPro-Regular,5.5,#0D71BA
79es311,626.9004,154.7236,MyriadPro-Regular,5.5,#0D71BA
79es312,663.0605,106.5562,MyriadPro-Regular,5.5,#0D71BA
79es313,692.8438,123.8574,MyriadPro-Regular,5.5,#0D71BA
79es314,703.2617,158.5127,MyriadPro-Regular,5.5,#0D71BA
8,423.8379,364.4297,MyriadPro-Regular,5.5,#0D71BA
80,635.9727,235.6758,MyriadPro-Regular,5.5,#0D71BA
81,646.2637,209.625,MyriadPro-Regular,5.5,#0D71BA
82,668.3613,233.7803,MyriadPro-Regular,5.5,#0D71BA
83,660.918,208.915,MyriadPro-Regular,5.5,#0D71BA
84,660.5312,175.6758,MyriadPro-Regular,5.5,#0D71BA
85,698.7422,192.7354,MyriadPro-Regular,5.5,#0D71BA
86,701.9922,221.2163,MyriadPro-Regular,5.5,#0D71BA
87,682.0762,250.3164,MyriadPro-Regular,5.5,#0D71BA
88,654.502,261.8813,MyriadPro-Regular,5.5,#0D71BA
89,680.5332,283.6782,MyriadPro-Regular,5.5,#0D71BA
9,446.0781,356.7031,MyriadPro-Regular,5.5,#0D71BA
90,668.8477,332.208,MyriadPro-Regular,5.5,#0D71BA
91,694.3184,345.0322,MyriadPro-Regular,5.5,#0D71BA
92,655.8809,371.3496,MyriadPro-Regular,5.5,#0D71BA
92a,650.0254,355.6631,MyriadPro-Regular,5.5,#0D71BA
93,602.3105,329.3086,MyriadPro-Regular,5.5,#0D71BA
94,593.0586,337.8252,MyriadPro-Regular,5.5,#0D71BA
95,633.043,353.249,MyriadPro-Regular,5.5,#0D71BA
96,676.4453,391.8916,MyriadPro-Regular,5.5,#0D71BA
97,583.0566,381.0732,MyriadPro-Regular,5.5,#0D71BA
98,550.0156,339.626,MyriadPro-Regular,5.5,#0D71BA
98a,522.6504,278.4546,MyriadPro-Regular,5.5,#0D71BA
98b,470.2402,292.9375,MyriadPro-Regular,5.5,#0D71BA
99,517.375,368.4775,MyriadPro-Regular,5.5,#0D71BA
10,354.3604,379.0195,MyriadPro-Regular,3.5,#7F151E
20,354.4497,406.9893,MyriadPro-Regular,3.5,#7F151E
30,374.8486,410.8613,MyriadPro-Regular,3.5,#7F151E
40,390.4795,392.8604,MyriadPro-Regular,3.5,#7F151E
50,384.1934,402.0527,MyriadPro-Regular,3.5,#7F151E
60,378.1357,377.0684,MyriadPro-Regular,3.5,#7F151E
70,380.292,357.3008,MyriadPro-Regular,3.5,#7F151E
80,391.123,325.3916,MyriadPro-Regular,3.5,#7F151E
90,401.9834,354.9229,MyriadPro-Regular,3.5,#7F151E
100,406.5752,380.5713,MyriadPro-Regular,3.5,#7F151E
110,416.2891,370.5918,MyriadPro-Regular,3.5,#7F151E
120,427.5254,372.2197,MyriadPro-Regular,3.5,#7F151E
