X1,Y1,X2,Y2,Fill,Stroke,StrokeWidth,StrokeLineJoin,StrokeMiterLimit
"real(8,3)","real(8,3)","real(8,3)","real(8,3)",char(7),char(7),"real(6,3)",char(5),"real(6,3)"
295.334,383.161,296.418,381.144,,#211E1F,0.25,round,10
274.914,355.487,274.874,353.197,,#211E1F,0.25,round,10
226.145,508.432,228.333,507.758,,#211E1F,0.25,round,10
169.722,145.608,169.682,143.318,,#211E1F,0.25,round,10
248.576,384.703,246.984,383.057,,#211E1F,0.25,round,10
218.243,388.628,212.048,391.96,,#211E1F,0.25,round,10
221.232,439.049,223.132,437.77,,#211E1F,0.25,round,10
236.646,448.977,236.606,446.688,,#211E1F,0.25,round,10
265.956,439.126,264.64,436.413,,#211E1F,0.25,round,10
273.698,455.159,272.383,452.446,,#211E1F,0.25,round,10
238.242,471.938,235.806,471.938,,#211E1F,0.25,round,10
224.088,552.028,221.652,552.028,,#211E1F,0.25,round,10
226.195,589.292,223.985,588.265,,#211E1F,0.25,round,10
237.044,595.282,237.004,592.993,,#211E1F,0.25,round,10
242.734,616.397,243.875,612.313,,#211E1F,0.25,round,10
281.649,615.861,281.609,613.572,,#211E1F,0.25,round,10
273.816,635.097,273.776,632.808,,#211E1F,0.25,round,10
238.454,633.552,238.414,631.263,,#211E1F,0.25,round,10
225.424,659.484,224.173,657.566,,#211E1F,0.25,round,10
223.973,691.733,222.102,690.413,,#211E1F,0.25,round,10
206.883,666.253,208.723,664.892,,#211E1F,0.25,round,10
181.467,669.441,180.57,667.336,,#211E1F,0.25,round,10
156.032,701.36,155.992,699.071,,#211E1F,0.25,round,10
117.754,690.732,117.714,688.443,,#211E1F,0.25,round,10
132.941,671.979,131.007,670.752,,#211E1F,0.25,round,10
149.299,641.89,147.365,640.663,,#211E1F,0.25,round,10
175.218,654.602,174.321,652.496,,#211E1F,0.25,round,10
200.512,635.875,203.598,631.407,,#211E1F,0.25,round,10
168.772,633.696,168.732,631.407,,#211E1F,0.25,round,10
185.519,616.905,185.479,614.616,,#211E1F,0.25,round,10
207.877,590.663,205.441,590.663,,#211E1F,0.25,round,10
207.384,544.439,205.049,546.395,,#211E1F,0.25,round,10
193.558,551.157,192.429,548.997,,#211E1F,0.25,round,10
163.342,563.828,163.302,561.539,,#211E1F,0.25,round,10
130.522,549.732,128.578,548.262,,#211E1F,0.25,round,10
170.202,547.095,169.386,544.956,,#211E1F,0.25,round,10
190.438,528.863,189.012,526.887,,#211E1F,0.25,round,10
191.513,520.541,191.172,518.128,,#211E1F,0.25,round,10
181.115,507.898,178.891,506.901,,#211E1F,0.25,round,10
207.877,495.594,205.441,495.594,,#211E1F,0.25,round,10
180.91,499.542,180.079,497.409,,#211E1F,0.25,round,10
182.715,482.088,181.571,480.105,,#211E1F,0.25,round,10
180.667,465.448,178.92,467.145,,#211E1F,0.25,round,10
206.953,450.852,205.263,449.097,,#211E1F,0.25,round,10
199.252,429.468,197.943,431.521,,#211E1F,0.25,round,10
176.113,427.3,176.073,425.011,,#211E1F,0.25,round,10
154.938,404.652,154.898,402.363,,#211E1F,0.25,round,10
197.943,405.069,197.097,402.942,,#211E1F,0.25,round,10
178.869,391.944,178.829,389.655,,#211E1F,0.25,round,10
140.687,379.978,138.25,379.978,,#211E1F,0.25,round,10
178.849,375.47,178.809,373.181,,#211E1F,0.25,round,10
196.933,368.584,194.502,368.738,,#211E1F,0.25,round,10
168.128,343.558,169.375,341.639,,#211E1F,0.25,round,10
187.03,335.369,189.279,334.941,,#211E1F,0.25,round,10
211.002,362.412,211.303,358.45,,#211E1F,0.25,round,10
217.928,357.361,218.078,355.078,,#211E1F,0.25,round,10
228.586,289.704,229.251,287.514,,#211E1F,0.25,round,10
236.4,325.763,233.965,325.841,,#211E1F,0.25,round,10
218.641,329.98,216.206,330.059,,#211E1F,0.25,round,10
232.676,372.151,234.459,369.03,,#211E1F,0.25,round,10
255.202,353.053,253.609,351.408,,#211E1F,0.25,round,10
267.073,323.75,264.638,323.829,,#211E1F,0.25,round,10
256.044,293.566,253.609,293.645,,#211E1F,0.25,round,10
226.956,267.951,228.204,266.032,,#211E1F,0.25,round,10
170.4,286.189,168.526,284.875,,#211E1F,0.25,round,10
142.588,325.652,140.714,324.338,,#211E1F,0.25,round,10
113.951,362.043,112.077,360.729,,#211E1F,0.25,round,10
94.045,359.336,92.171,358.021,,#211E1F,0.25,round,10
114.143,327.601,112.269,326.286,,#211E1F,0.25,round,10
156.044,277.068,153.791,276.668,,#211E1F,0.25,round,10
128.777,279.974,127.663,277.974,,#211E1F,0.25,round,10
110.932,311.854,110.892,309.565,,#211E1F,0.25,round,10
89.313,339.444,89.273,337.155,,#211E1F,0.25,round,10
65.674,340.021,63.8,338.707,,#211E1F,0.25,round,10
88.299,310.138,86.425,308.823,,#211E1F,0.25,round,10
111.655,279.838,104.358,284.823,,#211E1F,0.25,round,10
106.917,267.211,102.729,265.275,,#211E1F,0.25,round,10
87.787,241.962,89.556,240.509,,#211E1F,0.25,round,10
83.376,208.462,83.389,206.173,,#211E1F,0.25,round,10
108.67,240.437,110.439,238.983,,#211E1F,0.25,round,10
133.097,260.099,132.359,257.932,,#211E1F,0.25,round,10
134.635,234.349,136.404,232.896,,#211E1F,0.25,round,10
116.884,205.391,114.449,205.469,,#211E1F,0.25,round,10
91.479,193.076,89.043,193.155,,#211E1F,0.25,round,10
108.335,164.046,105.9,164.125,,#211E1F,0.25,round,10
124.75,178.464,126.52,177.011,,#211E1F,0.25,round,10
149.878,205.849,147.443,205.928,,#211E1F,0.25,round,10
157.23,235.307,154.795,235.386,,#211E1F,0.25,round,10
175.976,249.106,173.791,248.422,,#211E1F,0.25,round,10
173.933,214.665,171.498,214.744,,#211E1F,0.25,round,10
177.686,180.6,176.948,178.433,,#211E1F,0.25,round,10
195.439,209.236,193.751,207.688,,#211E1F,0.25,round,10
193.211,242.891,190.776,242.969,,#211E1F,0.25,round,10
222.654,236.074,222.614,233.785,,#211E1F,0.25,round,10
228.289,205.351,225.854,205.43,,#211E1F,0.25,round,10
225.442,169.255,227.211,167.802,,#211E1F,0.25,round,10
189.814,168.946,189.774,166.657,,#211E1F,0.25,round,10
