LabelText,X,Y,Font,FontSize,Fill
varchar(500),'real(8,3)','real(8,3)',varchar(100),'real(6,3)',char(7)
0,365.7588,332.8066,MyriadPro-Regular,24,#FCC595
I,361.7812,573.8223,MyriadPro-Regular,24,#A197C9
II,143.376,421.6299,MyriadPro-Regular,24,#5AA0D7
III,198.7734,168.6729,MyriadPro-Regular,24,#CB9AC6
IV,336.2988,147.501,MyriadPro-Regular,24,#E9E612
V,518.002,315.1348,MyriadPro-Regular,24,#F499C1
VI,518.623,440.748,MyriadPro-Regular,24,#0BA34A
1,396.9229,466.9473,MyriadPro-Regular,7,#0D71BA
10,544.0322,558.6963,MyriadPro-Regular,7,#0D71BA
100,432.0791,429.8291,MyriadPro-Regular,7,#0D71BA
101,408.751,514.1553,MyriadPro-Regular,7,#0D71BA
11,532.1494,611.8682,MyriadPro-Regular,7,#0D71BA
12,452.3604,621.3447,MyriadPro-Regular,7,#0D71BA
13,440.4902,569.501,MyriadPro-Regular,7,#0D71BA
14,403.8838,592.1807,MyriadPro-Regular,7,#0D71BA
16,404.5879,628.9072,MyriadPro-Regular,7,#0D71BA
18,442.9932,658.5439,MyriadPro-Regular,7,#0D71BA
19,502.6377,628.0635,MyriadPro-Regular,7,#0D71BA
19a,515.9541,644.626,MyriadPro-Regular,7,#0D71BA
2,372.2041,445.2617,MyriadPro-Regular,7,#0D71BA
20,506.2432,665.751,MyriadPro-Regular,7,#0D71BA
21,359.1572,602.751,MyriadPro-Regular,7,#0D71BA
22,374.1104,560.4746,MyriadPro-Regular,7,#0D71BA
23,347.4277,528.6094,MyriadPro-Regular,7,#0D71BA
24,332.4775,525.7041,MyriadPro-Regular,7,#0D71BA
25,366.0869,431.3838,MyriadPro-Regular,7,#0D71BA
25a,331.8799,409.3496,MyriadPro-Regular,7,#0D71BA
26,313.2822,397.79,MyriadPro-Regular,7,#0D71BA
26a,332.7627,351.3936,MyriadPro-Regular,7,#0D71BA
27,327.7031,447.1816,MyriadPro-Regular,7,#0D71BA
28,338.1895,465.3799,MyriadPro-Regular,7,#0D71BA
29,305.7119,505.415,MyriadPro-Regular,7,#0D71BA
3,399.5059,510.7041,MyriadPro-Regular,7,#0D71BA
31,283.8838,490.665,MyriadPro-Regular,7,#0D71BA
32,281.7202,453.5869,MyriadPro-Regular,7,#0D71BA
33,281.001,516.1064,MyriadPro-Regular,7,#0D71BA
34,301.1494,541.7705,MyriadPro-Regular,7,#0D71BA
35,237.002,540.001,MyriadPro-Regular,7,#0D71BA
