StructureName,MoleculeName,ChainName
4V6U,16S,A2
4V6U,23S,B1
4V6U,5S,B3
4V6U,uS15,AQ
4V6U,uS9,AK
4V6U,uS8,AI
4V6U,eS6,AG
4V6U,eS27,AW
4V6U,uS3,AC
4V6U,uS2,AB
4V6U,uS17,AR
4V6U,SX,A9
4V6U,uS4,AD
4V6U,uS12,AN
4V6U,eS28,AX
4V6U,uS11,AM
4V6U,eS4,AE
4V6U,eS8,AJ
4V6U,uS13,AO
4V6U,uS5,AF
4V6U,eS17,AS
4V6U,eS31,AY
4V6U,uS19,AT
4V6U,eS1,AA
4V6U,uS7,AH
4V6U,uS14,AP
4V6U,uS10,AL
4V6U,eS19,AU
4V6U,uL30,BY
4V6U,uL18,BO
4V6U,uL3,BC
4V6U,uL15,BL
4V6U,eL39,Bf
4V6U,uL24,BU
4V6U,eL32,Bb
4V6U,eL37,Be
4V6U,uL5,BE
4V6U,eL31,Ba
4V6U,uL23,BT
4V6U,P0,Bk
4V6U,uL29,BW
4V6U,aL43,Bi
4V6U,uL1,BA
4V6U,uL13,BI
4V6U,eL21,BR
4V6U,eL19,BQ
4V6U,eL24,BV
4V6U,aL42,Bj
4V6U,uL2,BB
4V6U,uL4,BD
4V6U,uL6,BF
4V6U,eL41,Bh
4V6U,uL11,BH
4V6U,eL30,BZ
4V6U,eL18,BP
4V6U,eL15,BM
4V6U,uL22,BS
4V6U,eL34,Bd
4V6U,eL10,BN
4V6U,eL40,Bg
4V6U,eL33,Bc
4V6U,uL14,BJ
4V6U,LX,Bl
