X1,Y1,X2,Y2,Fill,Stroke,StrokeWidth,StrokeLineJoin,StrokeMiterLimit
"real(8,3)","real(8,3)","real(8,3)","real(8,3)",char(7),char(7),"real(6,3)",char(5),"real(6,3)"
273.4,396.7,276.5,396.7,,#211E1F,0.25,round,10
249.8,351.5,252,353.8,,#211E1F,0.25,round,10
271.8,331.2,274.9,331.2,,#211E1F,0.25,round,10
278.9,291.5,281,293.8,,#211E1F,0.25,round,10
293.1,331.2,290.6,335.1,,#211E1F,0.25,round,10
324.7,332.1,324.6,335.2,,#211E1F,0.25,round,10
294.2,365.6,294.1,368.7,,#211E1F,0.25,round,10
302,354.1,299.7,355.2,,#211E1F,0.25,round,10
258.8,367.5,261,369.8,,#211E1F,0.25,round,10
275.9,370.7,276.9,373.6,,#211E1F,0.25,round,10
320.6,350.1,320.5,353.2,,#211E1F,0.25,round,10
327,380.7,325.8,378.3,,#211E1F,0.25,round,10
360.4,388.5,362.6,387.2,,#211E1F,0.25,round,10
320,394.2,320.5,396.8,,#211E1F,0.25,round,10
375.601,735.98,542.528,735.98,,#211E1F,1,round,10
